area_code,available_forecast_rows,elapsed_seconds,expected_forecast_rows,forecast_origin_utc,forecast_rows,mode,note,origin,phase,reason,shared_model,status,timestamp
SE1,,0.0,,,36,L2_recursive_lags,,2025-08-10T06:00:00+02:00,test,,,done,2026-06-08T10:47:50Z
SE1,,1.0,,,,L1_origin_known_fallback,shared model fit reused,2025-08-15T06:00:00+02:00,train,,HGB_no_price,done,2026-06-08T10:47:51Z
SE1,,0.0,,,36,L1_origin_known_fallback,,2025-08-15T06:00:00+02:00,test,,,done,2026-06-08T10:47:51Z
SE1,,1.0,,,,L2_recursive_lags,shared model fit reused,2025-08-15T06:00:00+02:00,train,,HGB_no_price,done,2026-06-08T10:47:51Z
SE1,,1.0,,,36,L2_recursive_lags,,2025-08-15T06:00:00+02:00,test,,,done,2026-06-08T10:47:52Z
SE1,,0.0,,,,L1_origin_known_fallback,shared model fit reused,2025-08-20T06:00:00+02:00,train,,HGB_no_price,done,2026-06-08T10:47:52Z
SE1,,1.0,,,36,L1_origin_known_fallback,,2025-08-20T06:00:00+02:00,test,,,done,2026-06-08T10:47:53Z
SE1,,1.0,,,,L2_recursive_lags,shared model fit reused,2025-08-20T06:00:00+02:00,train,,HGB_no_price,done,2026-06-08T10:47:53Z
SE1,,0.0,,,36,L2_recursive_lags,,2025-08-20T06:00:00+02:00,test,,,done,2026-06-08T10:47:53Z
SE1,,1.0,,,,L1_origin_known_fallback,shared model fit reused,2025-08-25T06:00:00+02:00,train,,HGB_no_price,done,2026-06-08T10:47:54Z
SE1,,0.0,,,36,L1_origin_known_fallback,,2025-08-25T06:00:00+02:00,test,,,done,2026-06-08T10:47:54Z
SE1,,1.0,,,,L2_recursive_lags,shared model fit reused,2025-08-25T06:00:00+02:00,train,,HGB_no_price,done,2026-06-08T10:47:54Z
SE1,,0.0,,,36,L2_recursive_lags,,2025-08-25T06:00:00+02:00,test,,,done,2026-06-08T10:47:54Z
SE1,,1.0,,,,L1_origin_known_fallback,shared model fit reused,2025-08-30T06:00:00+02:00,train,,HGB_no_price,done,2026-06-08T10:47:55Z
SE1,,0.0,,,36,L1_origin_known_fallback,,2025-08-30T06:00:00+02:00,test,,,done,2026-06-08T10:47:55Z
SE1,,1.0,,,,L2_recursive_lags,shared model fit reused,2025-08-30T06:00:00+02:00,train,,HGB_no_price,done,2026-06-08T10:47:55Z
SE1,,1.0,,,36,L2_recursive_lags,,2025-08-30T06:00:00+02:00,test,,,done,2026-06-08T10:47:56Z
SE1,,1.0,,,,L1_origin_known_fallback,shared model fit reused,2025-09-04T06:00:00+02:00,train,,HGB_no_price,done,2026-06-08T10:47:57Z
SE1,,0.0,,,36,L1_origin_known_fallback,,2025-09-04T06:00:00+02:00,test,,,done,2026-06-08T10:47:57Z
SE1,,1.0,,,,L2_recursive_lags,shared model fit reused,2025-09-04T06:00:00+02:00,train,,HGB_no_price,done,2026-06-08T10:47:57Z
SE1,,0.0,,,36,L2_recursive_lags,,2025-09-04T06:00:00+02:00,test,,,done,2026-06-08T10:47:57Z
SE1,,1.0,,,,L1_origin_known_fallback,shared model fit reused,2025-09-09T06:00:00+02:00,train,,HGB_no_price,done,2026-06-08T10:47:58Z
SE1,,0.0,,,36,L1_origin_known_fallback,,2025-09-09T06:00:00+02:00,test,,,done,2026-06-08T10:47:58Z
SE1,,1.0,,,,L2_recursive_lags,shared model fit reused,2025-09-09T06:00:00+02:00,train,,HGB_no_price,done,2026-06-08T10:47:58Z
SE1,,0.0,,,36,L2_recursive_lags,,2025-09-09T06:00:00+02:00,test,,,done,2026-06-08T10:47:58Z
SE1,,1.0,,,,L1_origin_known_fallback,shared model fit reused,2025-09-14T06:00:00+02:00,train,,HGB_no_price,done,2026-06-08T10:47:59Z
SE1,,0.0,,,36,L1_origin_known_fallback,,2025-09-14T06:00:00+02:00,test,,,done,2026-06-08T10:47:59Z
SE1,,1.0,,,,L2_recursive_lags,shared model fit reused,2025-09-14T06:00:00+02:00,train,,HGB_no_price,done,2026-06-08T10:47:59Z
SE1,,1.0,,,36,L2_recursive_lags,,2025-09-14T06:00:00+02:00,test,,,done,2026-06-08T10:48:00Z
SE1,,1.0,,,,L1_origin_known_fallback,shared model fit reused,2025-09-19T06:00:00+02:00,train,,HGB_no_price,done,2026-06-08T10:48:01Z
SE1,,0.0,,,36,L1_origin_known_fallback,,2025-09-19T06:00:00+02:00,test,,,done,2026-06-08T10:48:01Z
SE1,,1.0,,,,L2_recursive_lags,shared model fit reused,2025-09-19T06:00:00+02:00,train,,HGB_no_price,done,2026-06-08T10:48:01Z
SE1,,0.0,,,36,L2_recursive_lags,,2025-09-19T06:00:00+02:00,test,,,done,2026-06-08T10:48:01Z
SE1,,1.0,,,,L1_origin_known_fallback,shared model fit reused,2025-09-24T06:00:00+02:00,train,,HGB_no_price,done,2026-06-08T10:48:02Z
SE1,,0.0,,,36,L1_origin_known_fallback,,2025-09-24T06:00:00+02:00,test,,,done,2026-06-08T10:48:02Z
SE1,,1.0,,,,L2_recursive_lags,shared model fit reused,2025-09-24T06:00:00+02:00,train,,HGB_no_price,done,2026-06-08T10:48:02Z
SE1,,0.0,,,36,L2_recursive_lags,,2025-09-24T06:00:00+02:00,test,,,done,2026-06-08T10:48:02Z
SE1,,1.0,,,,L1_origin_known_fallback,shared model fit reused,2025-09-29T06:00:00+02:00,train,,HGB_no_price,done,2026-06-08T10:48:03Z
SE1,,0.0,,,36,L1_origin_known_fallback,,2025-09-29T06:00:00+02:00,test,,,done,2026-06-08T10:48:03Z
SE1,,1.0,,,,L2_recursive_lags,shared model fit reused,2025-09-29T06:00:00+02:00,train,,HGB_no_price,done,2026-06-08T10:48:03Z
SE1,,1.0,,,36,L2_recursive_lags,,2025-09-29T06:00:00+02:00,test,,,done,2026-06-08T10:48:04Z
SE1,35,,36,2025-10-04T04:00:00Z,,L1_origin_known_fallback,,2025-10-04T06:00:00+02:00,test,incomplete target/weather coverage for strict 36h origin window,,skipped,2026-06-08T10:48:04Z
SE1,35,,36,2025-10-04T04:00:00Z,,L2_recursive_lags,,2025-10-04T06:00:00+02:00,test,incomplete target/weather coverage for strict 36h origin window,,skipped,2026-06-08T10:48:04Z
SE1,,1.0,,,,L1_origin_known_fallback,shared model fit reused,2025-10-09T06:00:00+02:00,train,,HGB_no_price,done,2026-06-08T10:48:05Z
SE1,,0.0,,,36,L1_origin_known_fallback,,2025-10-09T06:00:00+02:00,test,,,done,2026-06-08T10:48:05Z
SE1,,1.0,,,,L2_recursive_lags,shared model fit reused,2025-10-09T06:00:00+02:00,train,,HGB_no_price,done,2026-06-08T10:48:05Z
SE1,,0.0,,,36,L2_recursive_lags,,2025-10-09T06:00:00+02:00,test,,,done,2026-06-08T10:48:05Z
SE1,,1.0,,,,L1_origin_known_fallback,shared model fit reused,2025-10-14T06:00:00+02:00,train,,HGB_no_price,done,2026-06-08T10:48:06Z
SE1,,0.0,,,36,L1_origin_known_fallback,,2025-10-14T06:00:00+02:00,test,,,done,2026-06-08T10:48:06Z
SE1,,1.0,,,,L2_recursive_lags,shared model fit reused,2025-10-14T06:00:00+02:00,train,,HGB_no_price,done,2026-06-08T10:48:06Z
SE1,,0.0,,,36,L2_recursive_lags,,2025-10-14T06:00:00+02:00,test,,,done,2026-06-08T10:48:06Z
SE1,,1.0,,,,L1_origin_known_fallback,shared model fit reused,2025-10-19T06:00:00+02:00,train,,HGB_no_price,done,2026-06-08T10:48:07Z
SE1,,0.0,,,36,L1_origin_known_fallback,,2025-10-19T06:00:00+02:00,test,,,done,2026-06-08T10:48:07Z
SE1,,1.0,,,,L2_recursive_lags,shared model fit reused,2025-10-19T06:00:00+02:00,train,,HGB_no_price,done,2026-06-08T10:48:07Z
