forecast_origin_timestamp_utc,target_timestamp_utc,horizon_h,split,target_consumption_se1_mw,weather_proxy_label,price_forecast_source,forecast_se1_price_target_hour,pred_HGB_no_price,pred_HGB_with_p0054h_price_forecast,pred_ExtraTrees_no_price,pred_ExtraTrees_with_p0054h_price_forecast,pred_LightGBM_no_price,pred_LightGBM_with_p0054h_price_forecast,pred_XGBoost_no_price,pred_XGBoost_with_p0054h_price_forecast
2022-06-10T23:00:00Z,2022-06-14T22:00:00Z,96,train_fit,970.353547,weather_actual_as_forecast_proxy,P0054H_origin_local_history_baseline_not_m4,1.28065,,,,,,,,
2022-06-10T23:00:00Z,2022-06-15T22:00:00Z,120,train_fit,1011.239595,weather_actual_as_forecast_proxy,P0054H_origin_local_history_baseline_not_m4,1.34788,,,,,,,,
2022-06-10T23:00:00Z,2022-06-16T22:00:00Z,144,train_fit,1059.316997,weather_actual_as_forecast_proxy,P0054H_origin_local_history_baseline_not_m4,1.4027,,,,,,,,
2022-06-10T23:00:00Z,2022-06-17T22:00:00Z,168,train_fit,1023.901355,weather_actual_as_forecast_proxy,P0054H_origin_local_history_baseline_not_m4,0.2916,,,,,,,,
2022-06-11T23:00:00Z,2022-06-11T23:00:00Z,1,train_fit,1019.466356,weather_actual_as_forecast_proxy,P0054H_origin_local_history_baseline_not_m4,0.06169,,,,,,,,
2022-06-11T23:00:00Z,2022-06-12T01:00:00Z,3,train_fit,973.956164,weather_actual_as_forecast_proxy,P0054H_origin_local_history_baseline_not_m4,0.06357,,,,,,,,
2022-06-11T23:00:00Z,2022-06-12T04:00:00Z,6,train_fit,1012.834406,weather_actual_as_forecast_proxy,P0054H_origin_local_history_baseline_not_m4,0.04713,,,,,,,,
2022-06-11T23:00:00Z,2022-06-12T10:00:00Z,12,train_fit,1047.118284,weather_actual_as_forecast_proxy,P0054H_origin_local_history_baseline_not_m4,0.06556,,,,,,,,
2022-06-11T23:00:00Z,2022-06-12T22:00:00Z,24,train_fit,989.301177,weather_actual_as_forecast_proxy,P0054H_origin_local_history_baseline_not_m4,0.31118,,,,,,,,
2022-06-11T23:00:00Z,2022-06-13T22:00:00Z,48,train_fit,1023.683545,weather_actual_as_forecast_proxy,P0054H_origin_local_history_baseline_not_m4,0.21308,,,,,,,,
2022-06-11T23:00:00Z,2022-06-14T22:00:00Z,72,train_fit,970.353547,weather_actual_as_forecast_proxy,P0054H_origin_local_history_baseline_not_m4,1.28065,,,,,,,,
2022-06-11T23:00:00Z,2022-06-15T22:00:00Z,96,train_fit,1011.239595,weather_actual_as_forecast_proxy,P0054H_origin_local_history_baseline_not_m4,1.34788,,,,,,,,
2022-06-11T23:00:00Z,2022-06-16T22:00:00Z,120,train_fit,1059.316997,weather_actual_as_forecast_proxy,P0054H_origin_local_history_baseline_not_m4,1.4027,,,,,,,,
2022-06-11T23:00:00Z,2022-06-17T22:00:00Z,144,train_fit,1023.901355,weather_actual_as_forecast_proxy,P0054H_origin_local_history_baseline_not_m4,0.2916,,,,,,,,
2022-06-11T23:00:00Z,2022-06-18T22:00:00Z,168,train_fit,979.885472,weather_actual_as_forecast_proxy,P0054H_origin_local_history_baseline_not_m4,0.11276,,,,,,,,
2022-06-12T23:00:00Z,2022-06-12T23:00:00Z,1,train_fit,986.560261,weather_actual_as_forecast_proxy,P0054H_origin_local_history_baseline_not_m4,0.29211,,,,,,,,
2022-06-12T23:00:00Z,2022-06-13T01:00:00Z,3,train_fit,989.648296,weather_actual_as_forecast_proxy,P0054H_origin_local_history_baseline_not_m4,0.33139,,,,,,,,
2022-06-12T23:00:00Z,2022-06-13T04:00:00Z,6,train_fit,1109.657186,weather_actual_as_forecast_proxy,P0054H_origin_local_history_baseline_not_m4,0.61335,,,,,,,,
2022-06-12T23:00:00Z,2022-06-13T10:00:00Z,12,train_fit,1141.904437,weather_actual_as_forecast_proxy,P0054H_origin_local_history_baseline_not_m4,0.06232,,,,,,,,
2022-06-12T23:00:00Z,2022-06-13T22:00:00Z,24,train_fit,1023.683545,weather_actual_as_forecast_proxy,P0054H_origin_local_history_baseline_not_m4,0.21308,,,,,,,,
2022-06-12T23:00:00Z,2022-06-14T22:00:00Z,48,train_fit,970.353547,weather_actual_as_forecast_proxy,P0054H_origin_local_history_baseline_not_m4,1.28065,,,,,,,,
2022-06-12T23:00:00Z,2022-06-15T22:00:00Z,72,train_fit,1011.239595,weather_actual_as_forecast_proxy,P0054H_origin_local_history_baseline_not_m4,1.34788,,,,,,,,
2022-06-12T23:00:00Z,2022-06-16T22:00:00Z,96,train_fit,1059.316997,weather_actual_as_forecast_proxy,P0054H_origin_local_history_baseline_not_m4,1.4027,,,,,,,,
2022-06-12T23:00:00Z,2022-06-17T22:00:00Z,120,train_fit,1023.901355,weather_actual_as_forecast_proxy,P0054H_origin_local_history_baseline_not_m4,0.2916,,,,,,,,
2022-06-12T23:00:00Z,2022-06-18T22:00:00Z,144,train_fit,979.885472,weather_actual_as_forecast_proxy,P0054H_origin_local_history_baseline_not_m4,0.11276,,,,,,,,
2022-06-12T23:00:00Z,2022-06-19T22:00:00Z,168,train_fit,1036.550655,weather_actual_as_forecast_proxy,P0054H_origin_local_history_baseline_not_m4,0.17538,,,,,,,,
2022-06-13T23:00:00Z,2022-06-13T23:00:00Z,1,train_fit,1014.165129,weather_actual_as_forecast_proxy,P0054H_origin_local_history_baseline_not_m4,0.20322,,,,,,,,
2022-06-13T23:00:00Z,2022-06-14T01:00:00Z,3,train_fit,1016.80631,weather_actual_as_forecast_proxy,P0054H_origin_local_history_baseline_not_m4,0.29299,,,,,,,,
2022-06-13T23:00:00Z,2022-06-14T04:00:00Z,6,train_fit,1084.603649,weather_actual_as_forecast_proxy,P0054H_origin_local_history_baseline_not_m4,1.13682,,,,,,,,
