regime,prediction_column,row_count,MAE,RMSE,bias,R2
summer_low_load,pred_LightGBM_with_p0054h_price_forecast,2184,11.023855334095172,14.262793536492286,-4.5855753235406,0.3491214495683852
summer_low_load,pred_XGBoost_no_price,2184,10.598354658159753,13.603803607513433,-4.067045535385642,0.40787762046758214
summer_low_load,pred_XGBoost_with_p0054h_price_forecast,2184,10.929960683217253,14.090837131704944,-4.181405890581188,0.36472120547958764
winter_high_load,pred_HGB_no_price,2160,17.479160949753837,21.78479344105377,4.215388437909118,0.6177875337608592
winter_high_load,pred_HGB_with_p0054h_price_forecast,2160,16.6754711941028,20.791071467153298,2.6419931177301925,0.6518617855027979
winter_high_load,pred_ExtraTrees_no_price,2160,16.854513861353144,20.7395515310415,0.16588233285959866,0.6535850094325433
winter_high_load,pred_ExtraTrees_with_p0054h_price_forecast,2160,16.768814368904096,20.6864891275647,1.4007246809974492,0.6553553560265535
winter_high_load,pred_LightGBM_no_price,2160,19.53377327001158,25.04065294562153,9.224830827277572,0.4950024707533408
winter_high_load,pred_LightGBM_with_p0054h_price_forecast,2160,18.93031663703751,25.29993533646224,7.348211073432225,0.4844903760644984
winter_high_load,pred_XGBoost_no_price,2160,17.3414262593334,21.67553462820471,8.72012078787616,0.6216117939532074
winter_high_load,pred_XGBoost_with_p0054h_price_forecast,2160,16.681075113316503,20.941392868741556,7.588784900673651,0.646809442786364
high_forecast_price,pred_HGB_no_price,2142,15.908181469482692,20.329784829637106,3.4629155837092886,0.8741029608578754
high_forecast_price,pred_HGB_with_p0054h_price_forecast,2142,15.109218740240028,19.277815308894404,2.452754815154828,0.8867950068774917
high_forecast_price,pred_ExtraTrees_no_price,2142,15.119609865992691,19.126416030469418,-0.5529071561849973,0.8885661466462196
high_forecast_price,pred_ExtraTrees_with_p0054h_price_forecast,2142,15.290044792265691,19.35471629555151,0.44159309313011613,0.8858900351056648
high_forecast_price,pred_LightGBM_no_price,2142,17.164120560981566,22.761557426292907,6.913175060801923,0.842182957042747
high_forecast_price,pred_LightGBM_with_p0054h_price_forecast,2142,17.219709154813586,23.862731107549518,5.184190595580628,0.8265436324699895
high_forecast_price,pred_XGBoost_no_price,2142,16.11112291768518,20.684149856586973,6.874868400159019,0.8696757292581743
high_forecast_price,pred_XGBoost_with_p0054h_price_forecast,2142,15.493112311360681,20.060388325366407,6.114893989048547,0.8774174578042558
low_forecast_price,pred_HGB_no_price,2142,13.56067831075182,17.14872876435626,-3.100855462083702,0.8383754813133726
low_forecast_price,pred_HGB_with_p0054h_price_forecast,2142,13.15454230412151,16.903127680833176,-0.8211162931014244,0.8429718457342874
low_forecast_price,pred_ExtraTrees_no_price,2142,12.561302947119426,16.302050934338627,-4.071757754378034,0.8539411511764659
low_forecast_price,pred_ExtraTrees_with_p0054h_price_forecast,2142,12.33167461065597,15.972882742234793,-3.4941879544044028,0.8597799915537301
low_forecast_price,pred_LightGBM_no_price,2142,12.813842500504002,16.60630904138657,-2.4103352588249476,0.8484382491564607
low_forecast_price,pred_LightGBM_with_p0054h_price_forecast,2142,12.426557947822015,16.473276498447724,-0.9608964746318303,0.8508568340407223
low_forecast_price,pred_XGBoost_no_price,2142,12.166812299090278,15.745490229344124,-0.3646641477240001,0.8637439623349005
low_forecast_price,pred_XGBoost_with_p0054h_price_forecast,2142,12.113481507785616,15.587154132837124,-0.8046503472819458,0.8664705556477965
large_forecast_price_ramp,pred_HGB_no_price,857,14.138369421444107,18.253851697933484,-2.0442142162835775,0.9063450433776322
large_forecast_price_ramp,pred_HGB_with_p0054h_price_forecast,857,14.07451716110597,17.97176142890308,-2.1429017003035575,0.9092173154874005
large_forecast_price_ramp,pred_ExtraTrees_no_price,857,14.028549470652647,17.953499621202546,-5.694310068697605,0.909401717403443
large_forecast_price_ramp,pred_ExtraTrees_with_p0054h_price_forecast,857,13.898432919026511,17.7740846106175,-4.887972786765874,0.9112034243719191
large_forecast_price_ramp,pred_LightGBM_no_price,857,13.845305440488684,18.13256075719161,0.28881501956125283,0.9075855221419813
large_forecast_price_ramp,pred_LightGBM_with_p0054h_price_forecast,857,14.239216346442227,18.687045988026288,-0.7269883069711695,0.9018471215854675
large_forecast_price_ramp,pred_XGBoost_no_price,857,13.67840659208631,17.731894518448996,1.7395342134239198,0.911624474398409
large_forecast_price_ramp,pred_XGBoost_with_p0054h_price_forecast,857,13.469073131352786,17.572801372486154,1.5509487384236917,0.9132031964532614
forecast_price_spike,pred_HGB_no_price,867,13.879132694070945,17.708555485122346,-6.718292239880787,0.9089594433409129
forecast_price_spike,pred_HGB_with_p0054h_price_forecast,867,13.612980413937136,17.475598264254966,-5.734927019144905,0.9113389773587591
forecast_price_spike,pred_ExtraTrees_no_price,867,14.457076752066095,18.231736150223238,-9.817238711808779,0.9035005838747867
forecast_price_spike,pred_ExtraTrees_with_p0054h_price_forecast,867,14.108756323614207,17.72812464949915,-9.106062911319464,0.9087581200869899
forecast_price_spike,pred_LightGBM_no_price,867,13.342750926160813,16.868401662384574,-4.061793441191357,0.9173930668775105
forecast_price_spike,pred_LightGBM_with_p0054h_price_forecast,867,13.856475281145423,17.461314569349202,-3.7797689009369835,0.9114838524501737
forecast_price_spike,pred_XGBoost_no_price,867,12.251560392116309,15.78025973048192,-1.1181431834360547,0.9277068871094882
forecast_price_spike,pred_XGBoost_with_p0054h_price_forecast,867,12.105197582187815,15.588253232196351,-1.6426191434690804,0.9294554388585563
