MAE_0_12h,MAE_0_24h,MAE_0_6h,MAE_24_36h,MAE_full_36h,MAE_percent_of_mean_actual,RMSE_full_36h,absolute_daily_energy_error_MWh,bias_delivery_day,bias_full_36h,coverage_label,daily_energy_error_percent_of_actual,duration_seconds,evening_peak_MAE,hourly_MAE_delivery_day,hourly_MAE_percent_of_mean_actual,hourly_MAE_percent_of_median_actual,hourly_RMSE_delivery_day,model,morning_ramp_MAE,offpeak_MAE,p90_absolute_error,p95_absolute_error,peak_hour_error_MW,peak_hour_timing_error_hours,prediction_column,price_mode,seed,signed_daily_energy_error_MWh,weather_mode
230.21550750223395,238.2056564840753,211.55984855253502,277.59058103586585,251.33396466800482,2.579193745495074,339.9890444158868,4564.738305704674,-74.8851843743209,-79.8634691844704,primary_full_p0054r_coverage,1.9655003974098804,36.964,275.28647302695856,261.1417664758205,2.7161795267841784,2.8451076983297656,352.4254830233225,M2_WeightedEnsemble,241.5970354456077,251.69952064650099,532.986575634709,668.474964650572,268.336574987201,2.206703910614525,pred_WeightedEnsemble_P0_noPrice_fullCoverage,P0_noPrice_fullCoverage,1002,-1797.244424983698,W1_tempNoise2C
235.51307428671916,243.20810822333294,215.9158186513684,272.4878800638606,252.9680321701754,2.5959625761100775,341.5592005049331,4502.170316955453,-73.71953680794999,-78.32025617646319,primary_full_p0054r_coverage,1.9466508660632542,37.458,266.24039668077864,260.95044458674613,2.7141895555699125,2.843023269680874,351.6731985372442,M3_XGBoost,246.03438950295333,256.2907152797479,536.61181640625,668.941162109375,247.45811601635242,2.217877094972067,pred_XGBoost_P0_noPrice_fullCoverage,P0_noPrice_fullCoverage,1002,-1769.2688833907998,W1_tempNoise2C
216.24309410596516,224.37140595963874,210.8403642985275,266.05530391502043,238.266038611434,2.4450904491251575,327.4644479500345,4274.529281678321,-9.706188356773922,-11.111022452217172,primary_full_p0054r_coverage,1.8755315393936793,36.201,263.8506806065162,248.77507775795246,2.587551513108334,2.710374132922442,340.3441839775412,M1_HorizonBiasCorrectedWeightedEnsemble,240.393425010673,222.17463450273473,501.6067120436237,632.2280953428967,241.76406086324693,2.164804469273743,pred_HorizonBiasCorrected_WeightedEnsemble_P0_noPrice_fullCoverage,P0_noPrice_fullCoverage,1003,-232.94852056257403,W1_tempNoise2C
230.3848966732049,237.51159594530753,211.8784565382361,276.3883376020563,250.4705098308901,2.5703329561531105,339.42107812007094,4542.7359684519815,-73.67955567844838,-78.92390539932826,primary_full_p0054r_coverage,1.957195087165207,36.732,273.7769146787396,259.718371719876,2.701374558024092,2.8295999860532053,351.42870533944796,M2_WeightedEnsemble,240.91596590347015,248.32361450140743,526.1598559881186,656.1535937795616,267.7520297051991,2.064245810055866,pred_WeightedEnsemble_P0_noPrice_fullCoverage,P0_noPrice_fullCoverage,1003,-1768.3093362827642,W1_tempNoise2C
234.76683206355818,242.34803912940254,215.35589713907424,273.8106772509705,252.83558516992505,2.5946034025693803,340.96975013202086,4512.617838541668,-74.76097064311281,-78.60856095662082,primary_full_p0054r_coverage,1.949437985434979,37.225,266.2744227006227,261.06416639994563,2.715372395316039,2.8442622549667913,351.4540271453348,M3_XGBoost,242.73259475111294,255.68552101746172,529.462890625,669.609375,249.58071552752563,2.223463687150838,pred_XGBoost_P0_noPrice_fullCoverage,P0_noPrice_fullCoverage,1003,-1794.263295434707,W1_tempNoise2C
219.25941334454214,226.10171303675816,213.66969642142243,266.60877261557744,239.60406622969762,2.4588213130332,327.995946070998,4272.081997627549,-12.281234994709308,-13.667735111535828,primary_full_p0054r_coverage,1.8726524402091609,36.226,266.24273676128706,249.22058227300133,2.592185280656114,2.7152278502826004,340.4185793730204,M1_HorizonBiasCorrectedWeightedEnsemble,241.14043455665677,223.13296355755057,501.5662235854861,639.0999133751156,245.51417385699725,2.1731843575418996,pred_HorizonBiasCorrected_WeightedEnsemble_P0_noPrice_fullCoverage,P0_noPrice_fullCoverage,1004,-294.7496398730251,W1_tempNoise2C
232.85612552968834,239.23011147483123,214.3439903116339,277.2580622156973,251.90609505511884,2.585064957999127,340.5213740822695,4552.415169414994,-75.12303115601374,-80.6738190655756,primary_full_p0054r_coverage,1.9621553436942651,36.76,275.22382924038186,260.5946668712182,2.710489051586791,2.839147114858905,351.9844461647849,M2_WeightedEnsemble,241.55761048412242,250.03195091321055,532.4369427088695,665.2238708933444,268.676891007135,2.153631284916201,pred_WeightedEnsemble_P0_noPrice_fullCoverage,P0_noPrice_fullCoverage,1004,-1802.9527477443235,W1_tempNoise2C
235.92800602335453,243.63045921754312,216.51487802417387,273.12648153126463,253.46246665545007,2.601036471847417,341.8574443055307,4541.07246248327,-77.03713989257815,-81.4909339044375,primary_full_p0054r_coverage,1.971686614551748,37.257,267.73756219448325,261.29737205197546,2.717798006608028,2.846803002105168,351.834316863803,M3_XGBoost,244.72283617300252,257.9585029133205,532.57275390625,670.8057861328125,251.8333533374069,2.1340782122905027,pred_XGBoost_P0_noPrice_fullCoverage,P0_noPrice_fullCoverage,1004,-1848.8913574218752,W1_tempNoise2C
673.6979393210615,622.7981348345718,711.6834680580545,693.1979295812073,646.264733083452,6.598802114144618,884.6858968461025,12847.4395823269,-263.597831293692,-323.03700703945043,matched_price_coverage_diagnostic,5.242415277450954,6.145,776.9042442439965,631.6443950386898,6.537995171958934,6.836903207021402,869.6977641931525,M1_HorizonBiasCorrectedWeightedEnsemble,698.0519668404478,473.25333667130445,1530.7564568823577,2001.6613437033784,854.9594458940516,3.164265129682997,pred_HorizonBiasCorrected_WeightedEnsemble_P0_noPrice_matchedPriceCoverage,P0_noPrice_matchedPriceCoverage,,-6326.347951048633,W0_weatherProxy
673.6979393210615,622.7981348345718,711.6834680580545,693.1979295812073,646.264733083452,6.598802114144618,884.6858968461025,12847.4395823269,-263.597831293692,-323.03700703945043,matched_price_coverage_diagnostic,5.242415277450954,6.579,776.9042442439965,631.6443950386898,6.537995171958934,6.836903207021402,869.6977641931525,M2_WeightedEnsemble,698.0519668404478,473.25333667130445,1530.7564568823577,2001.6613437033784,854.9594458940516,3.164265129682997,pred_WeightedEnsemble_P0_noPrice_matchedPriceCoverage,P0_noPrice_matchedPriceCoverage,,-6326.347951048633,W0_weatherProxy
673.8794536203578,622.3768137368221,705.5539844064511,699.309905308034,648.0211775938925,6.616736606242883,880.7609064500685,13096.229517047164,-288.8110194235249,-339.17911081442065,matched_price_coverage_diagnostic,5.344598700349216,7.002,783.0129614515791,634.078904190088,6.563194175073583,6.863254273468683,867.3232936616697,M3_XGBoost,695.7971697980456,474.17346672182714,1533.6005859375005,1975.8368164062497,831.4996181931435,3.3861671469740635,pred_XGBoost_P0_noPrice_matchedPriceCoverage,P0_noPrice_matchedPriceCoverage,,-6931.4644661646,W0_weatherProxy
691.0756608450184,648.8949656991672,715.8057103296776,714.5470385109538,670.7789899697647,6.849109336381972,922.367693004189,13951.546915512758,-291.19771326336723,-343.5386493395482,matched_price_coverage_diagnostic,5.652611685148992,6.164,789.7607296855045,660.0737777010711,6.8322606923187506,7.144622137205478,912.1550493776656,M1_HorizonBiasCorrectedWeightedEnsemble,729.8992268771598,520.4571332062518,1625.222302217018,2094.410623213688,861.1935723156505,3.250720461095101,pred_HorizonBiasCorrected_WeightedEnsemble_P0_noPrice_matchedPriceCoverage,P0_noPrice_matchedPriceCoverage,1000,-6988.745118320799,W1_tempNoise2C
691.0756608450184,648.8949656991672,715.8057103296776,714.5470385109538,670.7789899697647,6.849109336381972,922.367693004189,13951.546915512758,-291.19771326336723,-343.5386493395482,matched_price_coverage_diagnostic,5.652611685148992,6.617,789.7607296855045,660.0737777010711,6.8322606923187506,7.144622137205478,912.1550493776656,M2_WeightedEnsemble,729.8992268771598,520.4571332062518,1625.222302217018,2094.410623213688,861.1935723156505,3.250720461095101,pred_WeightedEnsemble_P0_noPrice_matchedPriceCoverage,P0_noPrice_matchedPriceCoverage,1000,-6988.745118320799,W1_tempNoise2C
718.0038757815646,672.4476507067105,732.1351562499998,743.7452760165058,696.2135258099753,7.108813232142902,952.9389340009081,14653.87564400591,-338.685739986873,-380.91016636683105,matched_price_coverage_diagnostic,5.883915793976739,7.043,809.827753699868,684.1321737122697,7.08128320910473,7.405029616693488,942.8140929255086,M3_XGBoost,747.0433507913814,555.4107778587672,1695.2994140625005,2154.518310546875,859.2203973042747,3.2997118155619596,pred_XGBoost_P0_noPrice_matchedPriceCoverage,P0_noPrice_matchedPriceCoverage,1000,-8128.457759684953,W1_tempNoise2C
703.6295459881443,658.5193159079627,723.9999334199907,729.5535786257329,682.1974034805555,6.9656990980663,936.7656682594251,14237.221766608418,-295.07574109288964,-349.05760412879386,matched_price_coverage_diagnostic,5.781707955644167,6.199,809.0853887235086,670.9787821148883,6.945135700420992,7.262657633498994,926.3583798122671,M1_HorizonBiasCorrectedWeightedEnsemble,741.9039879041752,524.4895309211093,1649.388405572798,2115.6166294211503,867.2607127534734,3.282420749279539,pred_HorizonBiasCorrected_WeightedEnsemble_P0_noPrice_matchedPriceCoverage,P0_noPrice_matchedPriceCoverage,1001,-7081.817786229322,W1_tempNoise2C
703.6295459881443,658.5193159079627,723.9999334199907,729.5535786257329,682.1974034805555,6.9656990980663,936.7656682594251,14237.221766608418,-295.07574109288964,-349.05760412879386,matched_price_coverage_diagnostic,5.781707955644167,6.65,809.0853887235086,670.9787821148883,6.945135700420992,7.262657633498994,926.3583798122671,M2_WeightedEnsemble,741.9039879041752,524.4895309211093,1649.388405572798,2115.6166294211503,867.2607127534734,3.282420749279539,pred_WeightedEnsemble_P0_noPrice_matchedPriceCoverage,P0_noPrice_matchedPriceCoverage,1001,-7081.817786229322,W1_tempNoise2C
703.4768409225293,665.552166561305,705.0428692066724,734.3520006950737,688.4854446058943,7.029904271190539,936.1898437190987,14596.356861360016,-323.90477505212726,-365.5091141639829,matched_price_coverage_diagnostic,5.894893043236967,7.072,796.7064803974545,680.320225198033,7.041826671252749,7.363769180874392,930.9418471781263,M3_XGBoost,740.464427350692,562.3859237099246,1659.1727539062501,2104.181640624999,832.536662839217,3.363112391930836,pred_XGBoost_P0_noPrice_matchedPriceCoverage,P0_noPrice_matchedPriceCoverage,1001,-7773.714601251055,W1_tempNoise2C
697.171651689216,652.4074780981349,714.7912547893721,722.6689386245173,675.8279649402624,6.900662802019222,924.3283744070314,13993.101171724673,-284.4108211376172,-340.59658306683303,matched_price_coverage_diagnostic,5.694322567811392,6.179,795.8182689510118,664.5938532805228,6.879046878577134,7.193547322749537,913.8742880650897,M1_HorizonBiasCorrectedWeightedEnsemble,728.3308137228955,525.4691895198622,1622.8196295910186,2075.0782102885264,859.1694624172186,3.2593659942363113,pred_HorizonBiasCorrected_WeightedEnsemble_P0_noPrice_matchedPriceCoverage,P0_noPrice_matchedPriceCoverage,1002,-6825.85970730282,W1_tempNoise2C
697.171651689216,652.4074780981349,714.7912547893721,722.6689386245173,675.8279649402624,6.900662802019222,924.3283744070314,13993.101171724673,-284.4108211376172,-340.59658306683303,matched_price_coverage_diagnostic,5.694322567811392,6.62,795.8182689510118,664.5938532805228,6.879046878577134,7.193547322749537,913.8742880650897,M2_WeightedEnsemble,728.3308137228955,525.4691895198622,1622.8196295910186,2075.0782102885264,859.1694624172186,3.2593659942363113,pred_WeightedEnsemble_P0_noPrice_matchedPriceCoverage,P0_noPrice_matchedPriceCoverage,1002,-6825.85970730282,W1_tempNoise2C
704.2939340686645,656.3943459232842,709.262458720184,730.8199799812552,681.2028906092745,6.95554444579827,920.8607881537704,14214.515865153695,-309.6065605034098,-355.51614533535445,matched_price_coverage_diagnostic,5.7768256992293265,7.044,797.4870997125661,668.6449201707842,6.92097847169796,7.237395969917837,910.2963475362396,M3_XGBoost,723.838163260424,540.4165589610164,1614.01796875,2056.937060546871,833.6169224866414,3.207492795389049,pred_XGBoost_P0_noPrice_matchedPriceCoverage,P0_noPrice_matchedPriceCoverage,1002,-7430.557452081837,W1_tempNoise2C
694.8453828189963,647.1442016052708,714.4268803697341,719.7774784538466,671.3552938881287,6.854993791033778,917.7242347203027,13944.972655839467,-308.1507090845112,-361.07374400849903,matched_price_coverage_diagnostic,5.637709071584821,6.158,796.8097860306967,658.9361176966053,6.820485054515342,7.132308133639348,906.7504356708156,M1_HorizonBiasCorrectedWeightedEnsemble,721.8530851805247,512.7459512410455,1621.7664396956825,2067.448326469691,863.7970833837713,3.319884726224784,pred_HorizonBiasCorrected_WeightedEnsemble_P0_noPrice_matchedPriceCoverage,P0_noPrice_matchedPriceCoverage,1003,-7395.617018028243,W1_tempNoise2C
694.8453828189963,647.1442016052708,714.4268803697341,719.7774784538466,671.3552938881287,6.854993791033778,917.7242347203027,13944.972655839467,-308.1507090845112,-361.07374400849903,matched_price_coverage_diagnostic,5.637709071584821,6.608,796.8097860306967,658.9361176966053,6.820485054515342,7.132308133639348,906.7504356708156,M2_WeightedEnsemble,721.8530851805247,512.7459512410455,1621.7664396956825,2067.448326469691,863.7970833837713,3.319884726224784,pred_WeightedEnsemble_P0_noPrice_matchedPriceCoverage,P0_noPrice_matchedPriceCoverage,1003,-7395.617018028243,W1_tempNoise2C
689.5202721244087,640.2873486210183,705.1405004528983,717.549469967165,666.0413890697337,6.800735211608154,901.2365077587722,13936.012050368483,-334.5946201858254,-378.2581824588826,matched_price_coverage_diagnostic,5.621411908965912,7.033,785.419689601345,653.2327239628675,6.761450634218341,7.070574741852171,891.392094394722,M3_XGBoost,706.1864211845581,516.1781366441711,1588.4812500000003,2005.0357910156247,837.4044230495016,3.3429394812680115,pred_XGBoost_P0_noPrice_matchedPriceCoverage,P0_noPrice_matchedPriceCoverage,1003,-8030.270884459809,W1_tempNoise2C
