forecast_origin_timestamp_utc,row_count,pred_HGB_no_price_MAE,pred_HGB_with_p0054l2_ensemble_price_forecast_MAE,pred_ExtraTrees_no_price_MAE,pred_ExtraTrees_with_p0054l2_ensemble_price_forecast_MAE,pred_LightGBM_no_price_MAE,pred_LightGBM_with_p0054l2_ensemble_price_forecast_MAE,pred_XGBoost_no_price_MAE,pred_XGBoost_with_p0054l2_ensemble_price_forecast_MAE
2025-10-12T23:00:00Z,168,204.04719612234788,182.6782127120967,194.0924654696478,187.7074544210796,214.88752212603518,178.9242295853408,173.17827365541282,158.27811826422973
2025-10-19T23:00:00Z,168,219.6045850226305,209.98261298729201,210.08065802096138,191.20524758556144,244.57897902496197,200.95423107905776,188.3216155738002,173.2260027292131
2025-10-26T23:00:00Z,168,275.44187392603453,274.51345182248417,261.9146220848719,250.3774497998996,285.85714319428797,264.398961174731,229.30742249688427,227.89677018708147
2025-11-02T23:00:00Z,168,242.0918951236785,231.63320279998524,222.38261762983703,207.64118756709874,258.3703261522284,216.53808325414263,210.07313323558407,191.0542295043713
2025-11-09T23:00:00Z,168,356.9989882220334,352.9327692857111,329.6144907469855,312.68948041777105,370.1990412147775,326.3976273628058,326.56620903678356,316.7435819369416
2025-11-16T23:00:00Z,168,649.0298418230398,664.5908999270115,510.88821915509914,486.9989841383274,689.3768001557751,641.4250232343788,638.614352171224,614.9331562309338
2025-11-23T23:00:00Z,168,571.8582076982754,585.0681347235161,453.8535538832793,424.9050465179493,601.0905145861497,565.17086222968,532.1764163181733,511.93595960081836
2025-11-30T23:00:00Z,168,438.3112528962999,445.92999366986857,360.40339869475247,329.7691372755286,453.6311123885099,438.6800946634501,398.9921186218375,396.2915803498881
2025-12-07T23:00:00Z,168,436.89384406022845,439.3830574725128,355.94296064724676,309.87672624066244,441.54691932801626,422.44549697222783,383.4401811285344,373.7192367693454
2025-12-14T23:00:00Z,168,441.9749285731029,448.1514959141757,385.48448759270525,351.7006283025391,453.47409837021075,430.3259962109708,401.1120852352585,389.5014742733445
2025-12-21T23:00:00Z,168,418.73220491390776,442.62116105615706,292.0821407726264,272.6273156921288,474.4152789609834,418.74847212888284,418.4719371015624,383.38307572693446
2025-12-28T23:00:00Z,168,417.4631704694702,430.7561241540813,320.6396239595914,305.0089310543542,454.99778643952527,438.9821055106414,362.4207597945497,346.31671823251475
