regime,model,row_count,MAE,RMSE,bias,median_absolute_error,p90_absolute_error,p95_absolute_error,sMAPE,R2,mean_actual_mw,median_actual_mw,MAE_percent_of_mean_actual,MAE_percent_of_median_actual
summer_low_load,pred_XGBoost_no_price,2184,135.55299525214252,174.3930841281618,99.67537922384754,106.41676144140615,290.8035452445312,340.66572724414067,0.07566782539893699,0.3386989305098851,1811.5147522744937,1809.91657825,7.482853511512699,7.489460944283305
summer_low_load,pred_XGBoost_with_p0054l2_ensemble_price_forecast,2184,133.57017069328774,172.49747512582388,94.64981751037382,104.49842890624996,286.7568122312501,340.4865872546872,0.07415819730462042,0.3529971497405202,1811.5147522744937,1809.91657825,7.373396795448686,7.379907576869433
winter_high_load,pred_HGB_no_price,2160,485.5504980483599,541.9098477789353,-478.113608833486,499.4139285309709,802.4997641345093,876.8638853653717,0.17485792189047178,-0.8791592741827623,2955.4424859155065,2947.066650375,16.429028829432664,16.47572164635557
winter_high_load,pred_HGB_with_p0054l2_ensemble_price_forecast,2160,483.6314593450631,538.3332956179895,-476.31647088512244,491.974824216293,796.6269795302071,870.9130153342383,0.1745067497483687,-0.8544365919466272,2955.4424859155065,2947.066650375,16.3640964643996,16.410604737545494
winter_high_load,pred_ExtraTrees_no_price,2160,403.60105719601233,470.17509072216535,-389.519255846364,416.41464860044994,718.5403122817643,796.1146421630343,0.14204348938128092,-0.4145839924686725,2955.4424859155065,2947.066650375,13.656197307828474,13.695009481535006
winter_high_load,pred_ExtraTrees_with_p0054l2_ensemble_price_forecast,2160,392.07404370641876,458.24583713704,-380.0046268135303,400.1480998216364,706.7586613035223,791.2195948117492,0.1370335343704475,-0.34371313336632436,2955.4424859155065,2947.066650375,13.266170652106807,13.303874334044302
winter_high_load,pred_LightGBM_no_price,2160,491.3299959027685,544.9706147259222,-485.70481421208456,513.8430592508726,785.731450637253,868.0349935451828,0.17766802830819892,-0.900446621697768,2955.4424859155065,2947.066650375,16.624583230573993,16.671831831161644
winter_high_load,pred_LightGBM_with_p0054l2_ensemble_price_forecast,2160,498.6722015970752,555.0150315533253,-494.46089905354677,516.556994107206,810.5228316348359,896.3611241345479,0.17951294897858275,-0.9711469206581131,2955.4424859155065,2947.066650375,16.87301322808864,16.920967889668244
winter_high_load,pred_XGBoost_no_price,2160,380.8763759434198,434.2595106075146,-359.5987459184923,401.1845716328123,651.828115859375,714.0286696914063,0.13604573324552743,-0.2067246448878688,2955.4424859155065,2947.066650375,12.88728769916955,12.923914560770289
winter_high_load,pred_XGBoost_with_p0054l2_ensemble_price_forecast,2160,366.120592245673,418.1374080653583,-345.18354562145464,375.1970614531251,632.1003756984377,693.9689951671874,0.13046549945477556,-0.1187873593918789,2955.4424859155065,2947.066650375,12.3880127591879,12.423220635308194
high_forecast_price,pred_HGB_no_price,2142,456.0120099274152,535.467088725337,-447.5725234124475,459.97443097383416,844.5925776360637,915.3624707799471,0.16697427997523187,-0.22919526908950272,2833.442572156397,2838.9750249999997,16.093921027676462,16.06255799757926
high_forecast_price,pred_HGB_with_p0054l2_ensemble_price_forecast,2142,446.9102422618171,526.986296021142,-439.24976249158277,439.91997516171455,840.2966277475189,907.8690337873461,0.16327454979654488,-0.19056732036197888,2833.442572156397,2838.9750249999997,15.772694553738392,15.741957513762106
high_forecast_price,pred_ExtraTrees_no_price,2142,423.94733319521526,484.85347357327095,-418.2558200666714,407.63324468972996,752.4425327203801,815.8910334219231,0.155604978087978,-0.007804600670790585,2833.442572156397,2838.9750249999997,14.962270185436275,14.933112460022974
high_forecast_price,pred_ExtraTrees_with_p0054l2_ensemble_price_forecast,2142,408.4215831857108,469.45275147423905,-402.1267846876235,380.7109419999074,733.2616741568715,806.4383433715786,0.14910072189841297,0.05520172518940991,2833.442572156397,2838.9750249999997,14.41432366405368,14.386233749474808
high_forecast_price,pred_LightGBM_no_price,2142,461.90727301215253,533.7839836155266,-456.4603706734739,448.69536570473247,830.7451722310632,908.9771461087998,0.17036167824010182,-0.2214800858199404,2833.442572156397,2838.9750249999997,16.301981114818116,16.270212627606774
high_forecast_price,pred_LightGBM_with_p0054l2_ensemble_price_forecast,2142,458.6917801070114,538.3047593716763,-452.57483564679944,448.5407130950482,851.7609911763062,920.4756578414325,0.1673506184616849,-0.24225785967721314,2833.442572156397,2838.9750249999997,16.188497505277585,16.156950169260874
high_forecast_price,pred_XGBoost_no_price,2142,355.56373676074446,431.6641081285495,-339.6442813231353,338.05679050000003,700.7912034375003,781.2046156273435,0.12831074876236281,0.20118319424686537,2833.442572156397,2838.9750249999997,12.548824537853328,12.524370014869874
high_forecast_price,pred_XGBoost_with_p0054l2_ensemble_price_forecast,2142,337.0077354175594,412.86154857393103,-317.11169373569174,311.00517692968765,669.8012883703126,751.0357622499995,0.12098499071642806,0.2692578000025797,2833.442572156397,2838.9750249999997,11.893932092686777,11.870753791416655
low_forecast_price,pred_HGB_no_price,2142,155.16695527961656,197.94233177884934,72.17226796188272,128.86821346024453,327.94775964866386,397.3239327261349,0.0829985403832303,0.5324391772244241,1897.2398910334969,1865.882642125,8.178562764410955,8.316008294224838
low_forecast_price,pred_HGB_with_p0054l2_ensemble_price_forecast,2142,145.71516223066885,186.32258998507433,50.48124016327739,116.6872228909831,309.9033140721148,371.27326535633347,0.07807848022323624,0.5857220913174387,1897.2398910334969,1865.882642125,7.680376262344579,7.809449476667946
low_forecast_price,pred_ExtraTrees_no_price,2142,124.12388226499908,159.20131845966864,48.63934349079386,96.89410783996823,276.6786907672284,324.4407701441004,0.06779737963574639,0.6975496645939245,1897.2398910334969,1865.882642125,6.542339893421922,6.652287741078826
low_forecast_price,pred_ExtraTrees_with_p0054l2_ensemble_price_forecast,2142,122.03259233742952,156.37630507642083,44.45459375554504,97.7042018345162,268.573754944098,318.5606820253044,0.06654605871245034,0.708188337617807,1897.2398910334969,1865.882642125,6.432111875475792,6.540207276833344
low_forecast_price,pred_LightGBM_no_price,2142,149.57532907644935,191.04185773641353,48.29483138915901,122.7608434434236,313.50050937908355,380.703738362442,0.0805040601655115,0.5644702604812553,1897.2398910334969,1865.882642125,7.883838505786958,8.016331022089487
low_forecast_price,pred_LightGBM_with_p0054l2_ensemble_price_forecast,2142,141.30366966956535,180.1780069124181,43.00769109226595,116.18333846894154,290.82496853373533,354.36920906426434,0.07608696358953225,0.6125958155702778,1897.2398910334969,1865.882642125,7.447854661784073,7.573020214638937
low_forecast_price,pred_XGBoost_no_price,2142,119.46538792878665,155.5678171954016,33.694868311321855,92.18862983593749,254.39696186171867,316.29847418867195,0.06483932483839898,0.7111979535102912,1897.2398910334969,1865.882642125,6.296799286868748,6.402620681048352
low_forecast_price,pred_XGBoost_with_p0054l2_ensemble_price_forecast,2142,116.31532092474922,150.32120558201586,22.59716208202031,90.85803825390622,245.5773119625003,301.50240847890575,0.06267612604272363,0.7303494871869625,1897.2398910334969,1865.882642125,6.130765090617399,6.233796183037591
large_forecast_price_ramp,pred_HGB_no_price,857,332.87809338497897,411.6142784516221,-289.0748187977852,280.7283487357772,671.2162275052654,830.5510826090691,0.1365008992842975,0.251775205780841,2468.3327511134776,2394.314033,13.485948895456495,13.902858555604473
large_forecast_price_ramp,pred_HGB_with_p0054l2_ensemble_price_forecast,857,323.5489826268916,401.74491515558594,-284.9663517597627,258.0910468724469,666.9223300999004,811.4080543346763,0.13231312385896885,0.2872257370673674,2468.3327511134776,2394.314033,13.107996986262771,13.513222499953145
large_forecast_price_ramp,pred_ExtraTrees_no_price,857,294.06461472288595,356.80051268879595,-270.4242790911642,251.85731504921569,578.2880306607893,701.4329862303113,0.11996138980140189,0.4377853322008225,2468.3327511134776,2394.314033,11.913491590233606,12.281789718052659
large_forecast_price_ramp,pred_ExtraTrees_with_p0054l2_ensemble_price_forecast,857,277.28760858108996,338.052540734586,-251.70679809632207,237.64824664285834,544.2128058866115,670.4868892827201,0.11250001620522969,0.4953158784762992,2468.3327511134776,2394.314033,11.233801782032996,11.581087725308
large_forecast_price_ramp,pred_LightGBM_no_price,857,310.71084893958556,396.0188033719892,-281.6424831843523,239.46661241736047,676.2569217376079,804.1174805253646,0.12573587053275684,0.3073994267211181,2468.3327511134776,2394.314033,12.58788341237308,12.977029940816687
large_forecast_price_ramp,pred_LightGBM_with_p0054l2_ensemble_price_forecast,857,301.2397009008201,389.3928082877528,-269.5259496921212,230.55928078559828,676.6656646358683,790.2240715202234,0.1206949624265301,0.33038205323011804,2468.3327511134776,2394.314033,12.204177121781061,12.581461610671688
large_forecast_price_ramp,pred_XGBoost_no_price,857,262.93174136088817,338.1607481725584,-228.7962690402931,212.01133902343759,584.2957144031247,700.5485950312501,0.10692788191887764,0.49499273748867334,2468.3327511134776,2394.314033,10.652200001895137,10.981506090554168
large_forecast_price_ramp,pred_XGBoost_with_p0054l2_ensemble_price_forecast,857,246.81558141717107,323.5687604121481,-204.54179388851,191.2957516874999,585.0344023812498,673.705865215625,0.10011588042320198,0.5376355843464733,2468.3327511134776,2394.314033,9.999283172247797,10.30840474621948
forecast_price_spike,pred_HGB_no_price,867,353.97585212199135,456.9501833950904,-303.5855616334874,251.65926753342728,819.9616910335465,922.9900789949415,0.13743578998910433,0.23549667286011133,2555.0029395902534,2452.7477852499997,13.854224847927515,14.431808042012436
forecast_price_spike,pred_HGB_with_p0054l2_ensemble_price_forecast,867,349.9978822687088,451.1534727828038,-308.5550317205719,245.36677403584963,820.0355414026615,911.2999547090878,0.13592122881438193,0.2547700895910221,2555.0029395902534,2452.7477852499997,13.69853149072455,14.269623822452449
forecast_price_spike,pred_ExtraTrees_no_price,867,354.73957428982806,426.5155287845864,-332.008991833549,282.22474216762316,722.4356209451624,828.4366007439853,0.13978999916873502,0.3339430513029211,2555.0029395902534,2452.7477852499997,13.884116092121513,14.462945453385487
forecast_price_spike,pred_ExtraTrees_with_p0054l2_ensemble_price_forecast,867,342.6044088694708,413.0625371453529,-320.39972800732755,277.2542914276273,697.3984541573727,822.3415588296161,0.13483879695659046,0.3752974417899081,2555.0029395902534,2452.7477852499997,13.409159087872297,13.968187472424946
forecast_price_spike,pred_LightGBM_no_price,867,356.9833040953563,454.0861058550636,-325.2546675293006,248.24164961112456,806.6964995996527,910.5507709748085,0.1391146732442081,0.2450501642384032,2555.0029395902534,2452.7477852499997,13.971933204609376,14.554423664843725
forecast_price_spike,pred_LightGBM_with_p0054l2_ensemble_price_forecast,867,353.2700623853278,457.11083061790873,-315.82373533254633,248.19001536163114,821.4284642987782,933.9874573713787,0.13651526385595059,0.23495903471254942,2555.0029395902534,2452.7477852499997,13.826601015260742,14.403032570644855
forecast_price_spike,pred_XGBoost_no_price,867,278.18769255097516,370.91241805077743,-212.3830593627723,207.42463765625007,671.9039835625,769.7381814906252,0.10691796121735705,0.49628554354429366,2555.0029395902534,2452.7477852499997,10.887959784327613,11.341879267974571
forecast_price_spike,pred_XGBoost_with_p0054l2_ensemble_price_forecast,867,264.89155166113414,352.30122713232356,-186.43835242726365,193.82321070312491,643.544614225,734.4082448031248,0.10151882772100439,0.5455668762322212,2555.0029395902534,2452.7477852499997,10.367563479344367,10.79978761999513
