forecast_origin_timestamp_utc,target_timestamp_utc,horizon_h,target_consumption_se3_mw,split,price_feature_protocol,horizon_h,target_model_cet_hour,target_model_cet_weekday,target_model_cet_day_of_year,target_month,target_hour_sin,target_hour_cos,target_dayofyear_sin,target_dayofyear_cos,is_weekend,is_workday,is_holiday,is_bridge_day,is_holiday_period,holiday_strength,special_day_type,special_day_group,consumption_se3_lag_1h,consumption_se3_lag_2h,consumption_se3_lag_3h,consumption_se3_lag_6h,consumption_se3_lag_12h,consumption_se3_lag_24h,consumption_se3_lag_48h,consumption_se3_lag_72h,consumption_se3_lag_168h,consumption_se3_roll_mean_6h,consumption_se3_roll_mean_12h,consumption_se3_roll_mean_24h,consumption_se3_roll_mean_48h
2025-03-09T23:00:00Z,2025-03-10T04:00:00Z,6,2397.34569375,train_fit,blocked_oof_train_price_before_2025_03,6,5,0,69,3,0.9659258262890683,0.25881904510252074,0.926323968251495,0.3767278936351851,0,1,0,0,0,0.0,normal_weekday,normal,2264.6985445,2343.2379525,2423.0522445,2560.498965,2173.6165955,2158.83289425,2063.706065,2283.5055385,2283.9581965,2439.489582375,2336.3043991874997,2253.377036635417,2224.7276348802084
2025-03-09T23:00:00Z,2025-03-10T10:00:00Z,12,2701.790505,train_fit,blocked_oof_train_price_before_2025_03,12,11,0,69,3,0.258819045102521,-0.9659258262890682,0.926323968251495,0.3767278936351851,0,1,0,0,0,0.0,normal_weekday,normal,2264.6985445,2343.2379525,2423.0522445,2560.498965,2173.6165955,2158.83289425,2063.706065,2283.5055385,2283.9581965,2439.489582375,2336.3043991874997,2253.377036635417,2224.7276348802084
2025-03-09T23:00:00Z,2025-03-10T22:00:00Z,24,2493.7134525,train_fit,blocked_oof_train_price_before_2025_03,24,23,0,69,3,-0.25881904510252157,0.9659258262890681,0.926323968251495,0.3767278936351851,0,1,0,0,0,0.0,normal_weekday,normal,2264.6985445,2343.2379525,2423.0522445,2560.498965,2173.6165955,2158.83289425,2063.706065,2283.5055385,2283.9581965,2439.489582375,2336.3043991874997,2253.377036635417,2224.7276348802084
2025-03-09T23:00:00Z,2025-03-11T22:00:00Z,48,2534.37087025,train_fit,blocked_oof_train_price_before_2025_03,48,23,1,70,3,-0.25881904510252157,0.9659258262890681,0.9326545075388224,0.36077079921678346,0,1,0,0,0,0.0,normal_weekday,normal,2264.6985445,2343.2379525,2423.0522445,2560.498965,2173.6165955,2158.83289425,2063.706065,2283.5055385,2283.9581965,2439.489582375,2336.3043991874997,2253.377036635417,2224.7276348802084
2025-03-09T23:00:00Z,2025-03-12T22:00:00Z,72,2622.46219125,train_fit,blocked_oof_train_price_before_2025_03,72,23,2,71,3,-0.25881904510252157,0.9659258262890681,0.9387101892619443,0.3447073839879338,0,1,0,0,0,0.0,normal_weekday,normal,2264.6985445,2343.2379525,2423.0522445,2560.498965,2173.6165955,2158.83289425,2063.706065,2283.5055385,2283.9581965,2439.489582375,2336.3043991874997,2253.377036635417,2224.7276348802084
2025-03-09T23:00:00Z,2025-03-13T22:00:00Z,96,2838.79106025,train_fit,blocked_oof_train_price_before_2025_03,96,23,3,72,3,-0.25881904510252157,0.9659258262890681,0.9444892287836613,0.32854238191083485,0,1,0,0,0,0.0,normal_weekday,normal,2264.6985445,2343.2379525,2423.0522445,2560.498965,2173.6165955,2158.83289425,2063.706065,2283.5055385,2283.9581965,2439.489582375,2336.3043991874997,2253.377036635417,2224.7276348802084
2025-03-09T23:00:00Z,2025-03-14T22:00:00Z,120,2679.2921062500004,train_fit,blocked_oof_train_price_before_2025_03,120,23,4,73,3,-0.25881904510252157,0.9659258262890681,0.949989922994501,0.3122805568857947,0,1,0,0,0,0.0,normal_weekday,normal,2264.6985445,2343.2379525,2423.0522445,2560.498965,2173.6165955,2158.83289425,2063.706065,2283.5055385,2283.9581965,2439.489582375,2336.3043991874997,2253.377036635417,2224.7276348802084
2025-03-09T23:00:00Z,2025-03-15T22:00:00Z,144,2405.48502225,train_fit,blocked_oof_train_price_before_2025_03,144,23,5,74,3,-0.25881904510252157,0.9659258262890681,0.9552106508146316,0.2959267013472893,1,0,0,0,0,0.0,normal_saturday,normal,2264.6985445,2343.2379525,2423.0522445,2560.498965,2173.6165955,2158.83289425,2063.706065,2283.5055385,2283.9581965,2439.489582375,2336.3043991874997,2253.377036635417,2224.7276348802084
2025-03-09T23:00:00Z,2025-03-16T22:00:00Z,168,2644.7029082500003,train_fit,blocked_oof_train_price_before_2025_03,168,23,6,75,3,-0.25881904510252157,0.9659258262890681,0.9601498736716018,0.2794856348516095,1,0,0,0,0,0.0,normal_sunday,normal,2264.6985445,2343.2379525,2423.0522445,2560.498965,2173.6165955,2158.83289425,2063.706065,2283.5055385,2283.9581965,2439.489582375,2336.3043991874997,2253.377036635417,2224.7276348802084
2025-03-10T23:00:00Z,2025-03-10T23:00:00Z,1,2395.2749685,train_fit,blocked_oof_train_price_before_2025_03,1,0,1,70,3,0.0,1.0,0.9326545075388224,0.36077079921678346,0,1,0,0,0,0.0,normal_weekday,normal,2493.7134525,2575.409686,2675.90797725,2899.98207225,2687.2401769999997,2248.849401,2158.83289425,2063.706065,2343.62187375,2713.526369375,2714.50645125,2606.997942479167,2430.1874895572914
