forecast_origin_timestamp_utc,target_timestamp_utc,horizon_h,split,target_consumption_se3_mw,weather_proxy_label,price_forecast_source,forecast_se3_price_target_hour,pred_HGB_no_price,pred_HGB_with_p0054k_se3_price_forecast,pred_ExtraTrees_no_price,pred_ExtraTrees_with_p0054k_se3_price_forecast,pred_LightGBM_no_price,pred_LightGBM_with_p0054k_se3_price_forecast,pred_XGBoost_no_price,pred_XGBoost_with_p0054k_se3_price_forecast
2022-06-09T23:00:00Z,2022-06-16T22:00:00Z,168,train_fit,6958.472987,weather_actual_as_forecast_proxy,P0054K_origin_local_history_baseline_not_m4,1.4027,,,,,,,,
2022-06-10T23:00:00Z,2022-06-10T23:00:00Z,1,train_fit,6540.681571,weather_actual_as_forecast_proxy,P0054K_origin_local_history_baseline_not_m4,1.46845,,,,,,,,
2022-06-10T23:00:00Z,2022-06-11T01:00:00Z,3,train_fit,6373.292626,weather_actual_as_forecast_proxy,P0054K_origin_local_history_baseline_not_m4,1.04825,,,,,,,,
2022-06-10T23:00:00Z,2022-06-11T04:00:00Z,6,train_fit,6293.985219,weather_actual_as_forecast_proxy,P0054K_origin_local_history_baseline_not_m4,1.47622,,,,,,,,
2022-06-10T23:00:00Z,2022-06-11T10:00:00Z,12,train_fit,7714.450567,weather_actual_as_forecast_proxy,P0054K_origin_local_history_baseline_not_m4,1.38165,,,,,,,,
2022-06-10T23:00:00Z,2022-06-11T22:00:00Z,24,train_fit,6729.375756,weather_actual_as_forecast_proxy,P0054K_origin_local_history_baseline_not_m4,1.51336,,,,,,,,
2022-06-10T23:00:00Z,2022-06-12T22:00:00Z,48,train_fit,6894.341421,weather_actual_as_forecast_proxy,P0054K_origin_local_history_baseline_not_m4,0.31118,,,,,,,,
2022-06-10T23:00:00Z,2022-06-13T22:00:00Z,72,train_fit,7106.705875,weather_actual_as_forecast_proxy,P0054K_origin_local_history_baseline_not_m4,0.21308,,,,,,,,
2022-06-10T23:00:00Z,2022-06-14T22:00:00Z,96,train_fit,7124.870949,weather_actual_as_forecast_proxy,P0054K_origin_local_history_baseline_not_m4,1.28065,,,,,,,,
2022-06-10T23:00:00Z,2022-06-15T22:00:00Z,120,train_fit,6978.081439,weather_actual_as_forecast_proxy,P0054K_origin_local_history_baseline_not_m4,1.34788,,,,,,,,
2022-06-10T23:00:00Z,2022-06-16T22:00:00Z,144,train_fit,6958.472987,weather_actual_as_forecast_proxy,P0054K_origin_local_history_baseline_not_m4,1.4027,,,,,,,,
2022-06-10T23:00:00Z,2022-06-17T22:00:00Z,168,train_fit,6452.322208,weather_actual_as_forecast_proxy,P0054K_origin_local_history_baseline_not_m4,0.2916,,,,,,,,
2022-06-11T23:00:00Z,2022-06-11T23:00:00Z,1,train_fit,6530.313422,weather_actual_as_forecast_proxy,P0054K_origin_local_history_baseline_not_m4,1.48749,,,,,,,,
2022-06-11T23:00:00Z,2022-06-12T01:00:00Z,3,train_fit,6207.233336,weather_actual_as_forecast_proxy,P0054K_origin_local_history_baseline_not_m4,1.39512,,,,,,,,
2022-06-11T23:00:00Z,2022-06-12T04:00:00Z,6,train_fit,6047.460633,weather_actual_as_forecast_proxy,P0054K_origin_local_history_baseline_not_m4,0.04713,,,,,,,,
2022-06-11T23:00:00Z,2022-06-12T10:00:00Z,12,train_fit,7594.417532,weather_actual_as_forecast_proxy,P0054K_origin_local_history_baseline_not_m4,0.06556,,,,,,,,
2022-06-11T23:00:00Z,2022-06-12T22:00:00Z,24,train_fit,6894.341421,weather_actual_as_forecast_proxy,P0054K_origin_local_history_baseline_not_m4,0.31118,,,,,,,,
2022-06-11T23:00:00Z,2022-06-13T22:00:00Z,48,train_fit,7106.705875,weather_actual_as_forecast_proxy,P0054K_origin_local_history_baseline_not_m4,0.21308,,,,,,,,
2022-06-11T23:00:00Z,2022-06-14T22:00:00Z,72,train_fit,7124.870949,weather_actual_as_forecast_proxy,P0054K_origin_local_history_baseline_not_m4,1.28065,,,,,,,,
2022-06-11T23:00:00Z,2022-06-15T22:00:00Z,96,train_fit,6978.081439,weather_actual_as_forecast_proxy,P0054K_origin_local_history_baseline_not_m4,1.34788,,,,,,,,
2022-06-11T23:00:00Z,2022-06-16T22:00:00Z,120,train_fit,6958.472987,weather_actual_as_forecast_proxy,P0054K_origin_local_history_baseline_not_m4,1.4027,,,,,,,,
2022-06-11T23:00:00Z,2022-06-17T22:00:00Z,144,train_fit,6452.322208,weather_actual_as_forecast_proxy,P0054K_origin_local_history_baseline_not_m4,0.2916,,,,,,,,
2022-06-11T23:00:00Z,2022-06-18T22:00:00Z,168,train_fit,6571.583054,weather_actual_as_forecast_proxy,P0054K_origin_local_history_baseline_not_m4,0.11276,,,,,,,,
2022-06-12T23:00:00Z,2022-06-12T23:00:00Z,1,train_fit,6738.809993,weather_actual_as_forecast_proxy,P0054K_origin_local_history_baseline_not_m4,0.29211,,,,,,,,
2022-06-12T23:00:00Z,2022-06-13T01:00:00Z,3,train_fit,6580.344453,weather_actual_as_forecast_proxy,P0054K_origin_local_history_baseline_not_m4,0.33139,,,,,,,,
2022-06-12T23:00:00Z,2022-06-13T04:00:00Z,6,train_fit,7621.850849,weather_actual_as_forecast_proxy,P0054K_origin_local_history_baseline_not_m4,0.61335,,,,,,,,
2022-06-12T23:00:00Z,2022-06-13T10:00:00Z,12,train_fit,8933.041541,weather_actual_as_forecast_proxy,P0054K_origin_local_history_baseline_not_m4,0.06232,,,,,,,,
2022-06-12T23:00:00Z,2022-06-13T22:00:00Z,24,train_fit,7106.705875,weather_actual_as_forecast_proxy,P0054K_origin_local_history_baseline_not_m4,0.21308,,,,,,,,
2022-06-12T23:00:00Z,2022-06-14T22:00:00Z,48,train_fit,7124.870949,weather_actual_as_forecast_proxy,P0054K_origin_local_history_baseline_not_m4,1.28065,,,,,,,,
2022-06-12T23:00:00Z,2022-06-15T22:00:00Z,72,train_fit,6978.081439,weather_actual_as_forecast_proxy,P0054K_origin_local_history_baseline_not_m4,1.34788,,,,,,,,
2022-06-12T23:00:00Z,2022-06-16T22:00:00Z,96,train_fit,6958.472987,weather_actual_as_forecast_proxy,P0054K_origin_local_history_baseline_not_m4,1.4027,,,,,,,,
2022-06-12T23:00:00Z,2022-06-17T22:00:00Z,120,train_fit,6452.322208,weather_actual_as_forecast_proxy,P0054K_origin_local_history_baseline_not_m4,0.2916,,,,,,,,
2022-06-12T23:00:00Z,2022-06-18T22:00:00Z,144,train_fit,6571.583054,weather_actual_as_forecast_proxy,P0054K_origin_local_history_baseline_not_m4,0.11276,,,,,,,,
2022-06-12T23:00:00Z,2022-06-19T22:00:00Z,168,train_fit,6888.841325,weather_actual_as_forecast_proxy,P0054K_origin_local_history_baseline_not_m4,0.17538,,,,,,,,
2022-06-13T23:00:00Z,2022-06-13T23:00:00Z,1,train_fit,6879.596233,weather_actual_as_forecast_proxy,P0054K_origin_local_history_baseline_not_m4,0.20322,,,,,,,,
2022-06-13T23:00:00Z,2022-06-14T01:00:00Z,3,train_fit,6646.662768,weather_actual_as_forecast_proxy,P0054K_origin_local_history_baseline_not_m4,0.29299,,,,,,,,
2022-06-13T23:00:00Z,2022-06-14T04:00:00Z,6,train_fit,7556.474408,weather_actual_as_forecast_proxy,P0054K_origin_local_history_baseline_not_m4,1.49,,,,,,,,
2022-06-13T23:00:00Z,2022-06-14T10:00:00Z,12,train_fit,8771.562456,weather_actual_as_forecast_proxy,P0054K_origin_local_history_baseline_not_m4,1.76904,,,,,,,,
2022-06-13T23:00:00Z,2022-06-14T22:00:00Z,24,train_fit,7124.870949,weather_actual_as_forecast_proxy,P0054K_origin_local_history_baseline_not_m4,1.28065,,,,,,,,
2022-06-13T23:00:00Z,2022-06-15T22:00:00Z,48,train_fit,6978.081439,weather_actual_as_forecast_proxy,P0054K_origin_local_history_baseline_not_m4,1.34788,,,,,,,,
2022-06-13T23:00:00Z,2022-06-16T22:00:00Z,72,train_fit,6958.472987,weather_actual_as_forecast_proxy,P0054K_origin_local_history_baseline_not_m4,1.4027,,,,,,,,
2022-06-13T23:00:00Z,2022-06-17T22:00:00Z,96,train_fit,6452.322208,weather_actual_as_forecast_proxy,P0054K_origin_local_history_baseline_not_m4,0.2916,,,,,,,,
2022-06-13T23:00:00Z,2022-06-18T22:00:00Z,120,train_fit,6571.583054,weather_actual_as_forecast_proxy,P0054K_origin_local_history_baseline_not_m4,0.11276,,,,,,,,
2022-06-13T23:00:00Z,2022-06-19T22:00:00Z,144,train_fit,6888.841325,weather_actual_as_forecast_proxy,P0054K_origin_local_history_baseline_not_m4,0.17538,,,,,,,,
2022-06-13T23:00:00Z,2022-06-20T22:00:00Z,168,train_fit,7085.628842,weather_actual_as_forecast_proxy,P0054K_origin_local_history_baseline_not_m4,0.1393,,,,,,,,
2022-06-14T23:00:00Z,2022-06-14T23:00:00Z,1,train_fit,6942.016553,weather_actual_as_forecast_proxy,P0054K_origin_local_history_baseline_not_m4,1.06402,,,,,,,,
2022-06-14T23:00:00Z,2022-06-15T01:00:00Z,3,train_fit,6749.923227,weather_actual_as_forecast_proxy,P0054K_origin_local_history_baseline_not_m4,0.90815,,,,,,,,
2022-06-14T23:00:00Z,2022-06-15T04:00:00Z,6,train_fit,7664.571205,weather_actual_as_forecast_proxy,P0054K_origin_local_history_baseline_not_m4,1.46338,,,,,,,,
2022-06-14T23:00:00Z,2022-06-15T10:00:00Z,12,train_fit,8832.151572,weather_actual_as_forecast_proxy,P0054K_origin_local_history_baseline_not_m4,1.84294,,,,,,,,
2022-06-14T23:00:00Z,2022-06-15T22:00:00Z,24,train_fit,6978.081439,weather_actual_as_forecast_proxy,P0054K_origin_local_history_baseline_not_m4,1.34788,,,,,,,,
2022-06-14T23:00:00Z,2022-06-16T22:00:00Z,48,train_fit,6958.472987,weather_actual_as_forecast_proxy,P0054K_origin_local_history_baseline_not_m4,1.4027,,,,,,,,
2022-06-14T23:00:00Z,2022-06-17T22:00:00Z,72,train_fit,6452.322208,weather_actual_as_forecast_proxy,P0054K_origin_local_history_baseline_not_m4,0.2916,,,,,,,,
2022-06-14T23:00:00Z,2022-06-18T22:00:00Z,96,train_fit,6571.583054,weather_actual_as_forecast_proxy,P0054K_origin_local_history_baseline_not_m4,0.11276,,,,,,,,
2022-06-14T23:00:00Z,2022-06-19T22:00:00Z,120,train_fit,6888.841325,weather_actual_as_forecast_proxy,P0054K_origin_local_history_baseline_not_m4,0.17538,,,,,,,,
2022-06-14T23:00:00Z,2022-06-20T22:00:00Z,144,train_fit,7085.628842,weather_actual_as_forecast_proxy,P0054K_origin_local_history_baseline_not_m4,0.1393,,,,,,,,
2022-06-14T23:00:00Z,2022-06-21T22:00:00Z,168,train_fit,6893.440223,weather_actual_as_forecast_proxy,P0054K_origin_local_history_baseline_not_m4,0.51021,,,,,,,,
2022-06-15T23:00:00Z,2022-06-15T23:00:00Z,1,train_fit,6781.513063,weather_actual_as_forecast_proxy,P0054K_origin_local_history_baseline_not_m4,1.34388,,,,,,,,
2022-06-15T23:00:00Z,2022-06-16T01:00:00Z,3,train_fit,6620.206931,weather_actual_as_forecast_proxy,P0054K_origin_local_history_baseline_not_m4,1.31998,,,,,,,,
2022-06-15T23:00:00Z,2022-06-16T04:00:00Z,6,train_fit,7575.339212,weather_actual_as_forecast_proxy,P0054K_origin_local_history_baseline_not_m4,1.42559,,,,,,,,
2022-06-15T23:00:00Z,2022-06-16T10:00:00Z,12,train_fit,8759.336123,weather_actual_as_forecast_proxy,P0054K_origin_local_history_baseline_not_m4,1.92865,,,,,,,,
2022-06-15T23:00:00Z,2022-06-16T22:00:00Z,24,train_fit,6958.472987,weather_actual_as_forecast_proxy,P0054K_origin_local_history_baseline_not_m4,1.4027,,,,,,,,
2022-06-15T23:00:00Z,2022-06-17T22:00:00Z,48,train_fit,6452.322208,weather_actual_as_forecast_proxy,P0054K_origin_local_history_baseline_not_m4,0.2916,,,,,,,,
2022-06-15T23:00:00Z,2022-06-18T22:00:00Z,72,train_fit,6571.583054,weather_actual_as_forecast_proxy,P0054K_origin_local_history_baseline_not_m4,0.11276,,,,,,,,
2022-06-15T23:00:00Z,2022-06-19T22:00:00Z,96,train_fit,6888.841325,weather_actual_as_forecast_proxy,P0054K_origin_local_history_baseline_not_m4,0.17538,,,,,,,,
