regime,prediction_column,row_count,MAE,RMSE,bias,R2
morning_ramp,pred_HGB_no_price,1428,155.0512022584605,195.45779148678443,-97.71855238749721,0.8617867611469625
morning_ramp,pred_HGB_with_p0054k_se3_price_forecast,1428,157.44651148834765,196.3287923046616,-93.15587166736744,0.8605522023098418
morning_ramp,pred_ExtraTrees_no_price,1428,148.525705945155,183.5125210534479,-99.98688597325565,0.8781641569832266
morning_ramp,pred_ExtraTrees_with_p0054k_se3_price_forecast,1428,151.11094704503148,187.50884333502816,-109.2831268007485,0.8727999800750068
morning_ramp,pred_LightGBM_no_price,1428,144.22805181833328,191.8377066677133,-106.79591088227716,0.8668590603629305
morning_ramp,pred_LightGBM_with_p0054k_se3_price_forecast,1428,140.16989554236764,184.45978544643506,-97.05714453876797,0.8769031136297786
morning_ramp,pred_XGBoost_no_price,1428,110.6560676882825,145.09417007024888,-11.886041793171211,0.9238370784217563
morning_ramp,pred_XGBoost_with_p0054k_se3_price_forecast,1428,110.99668028933061,145.47098934356808,-3.8018614901906194,0.9234409643089142
evening_peak,pred_HGB_no_price,1785,270.55733720255404,308.3608358998369,-260.27750407337044,0.6620730709539613
evening_peak,pred_HGB_with_p0054k_se3_price_forecast,1785,261.19908577107316,298.3812546538274,-248.12781585495875,0.6835920079932174
evening_peak,pred_ExtraTrees_no_price,1785,263.7255913202987,299.08203590647076,-260.14085428900285,0.682104024633235
evening_peak,pred_ExtraTrees_with_p0054k_se3_price_forecast,1785,270.944155003299,305.4294545221688,-268.08056163358185,0.6684674254829887
evening_peak,pred_LightGBM_no_price,1785,268.10413817272615,306.49675722528025,-258.052704421304,0.6661463405151777
evening_peak,pred_LightGBM_with_p0054k_se3_price_forecast,1785,265.5598531548542,302.62036818553423,-256.89549340072864,0.6745377041220948
evening_peak,pred_XGBoost_no_price,1785,198.0694692706407,242.64968590492776,-181.6714016315475,0.790750783732703
evening_peak,pred_XGBoost_with_p0054k_se3_price_forecast,1785,199.65467378476868,244.2278049956031,-179.64768962721453,0.7880201475315547
summer_low_load,pred_HGB_no_price,2184,111.93457331808463,149.69842227160416,-57.939247540387235,0.5127238501354998
summer_low_load,pred_HGB_with_p0054k_se3_price_forecast,2184,113.2932887144482,150.55947794660997,-59.39794467698076,0.5071021667136582
summer_low_load,pred_ExtraTrees_no_price,2184,88.31567606329254,114.80283034082389,-50.3344042826141,0.7134199862552553
summer_low_load,pred_ExtraTrees_with_p0054k_se3_price_forecast,2184,90.27570018073021,117.49562450390074,-53.63555320225554,0.6998183803632609
summer_low_load,pred_LightGBM_no_price,2184,90.53209287540288,119.94381905126014,-39.41034847799888,0.6871786007750575
summer_low_load,pred_LightGBM_with_p0054k_se3_price_forecast,2184,91.9696427591695,121.43090102231788,-38.85861777395316,0.6793736997483912
summer_low_load,pred_XGBoost_no_price,2184,79.54232985156256,107.26899897168323,-22.704605928735976,0.7497989290422453
summer_low_load,pred_XGBoost_with_p0054k_se3_price_forecast,2184,81.24648861725194,110.15146223650648,-18.983915100196015,0.7361717832438829
winter_high_load,pred_HGB_no_price,2160,172.70816347172925,225.53214491081474,-92.94640612353969,0.674518427355753
winter_high_load,pred_HGB_with_p0054k_se3_price_forecast,2160,171.58717137342327,221.1342019436559,-73.58835209953382,0.6870886315049367
winter_high_load,pred_ExtraTrees_no_price,2160,185.44291621453186,237.38900315942274,-153.94434673244618,0.6393958680460773
winter_high_load,pred_ExtraTrees_with_p0054k_se3_price_forecast,2160,189.6213687337909,243.30217621334145,-161.71442854464556,0.6212073947272165
winter_high_load,pred_LightGBM_no_price,2160,189.56020483898052,243.43271640159486,-99.86008294844878,0.6208008145315413
winter_high_load,pred_LightGBM_with_p0054k_se3_price_forecast,2160,178.00762825089805,229.14183960833506,-93.59687941047243,0.664016232249363
winter_high_load,pred_XGBoost_no_price,2160,149.97172465567877,196.28128110645744,-106.29261646292687,0.7534714206576705
winter_high_load,pred_XGBoost_with_p0054k_se3_price_forecast,2160,148.5952253004991,195.53014585665176,-100.3138377085866,0.7553546566523821
high_forecast_price,pred_HGB_no_price,2142,189.86646055694212,240.12586250833917,-153.14482765830036,0.8050019851703688
high_forecast_price,pred_HGB_with_p0054k_se3_price_forecast,2142,187.86201818653493,233.82000640283374,-135.4850522115201,0.8151090514303502
high_forecast_price,pred_ExtraTrees_no_price,2142,202.2202213564849,247.68408017609738,-189.35810530317266,0.7925332512486551
high_forecast_price,pred_ExtraTrees_with_p0054k_se3_price_forecast,2142,207.48786888874073,253.66410646254855,-195.52768449113734,0.7823942574854043
high_forecast_price,pred_LightGBM_no_price,2142,206.1641111866165,256.68500781672736,-152.56598393648875,0.7771804352042578
high_forecast_price,pred_LightGBM_with_p0054k_se3_price_forecast,2142,196.2210070597486,245.46337189851147,-141.95065870322503,0.796236821776553
high_forecast_price,pred_XGBoost_no_price,2142,144.47687253955488,191.7946836439653,-115.58995646895796,0.8755985495461509
