exact_match_count,example_mismatches,feature,max_abs_delta,mean_abs_delta,mismatch_count,rows_compared
0,"[{""delta"": -376.0, ""key"": [""2025-06-01T04:00:00Z"", ""2025-06-01T04:00:00Z""], ""rolling"": -271.0, ""static"": 105.0}, {""delta"": -376.0, ""key"": [""2025-06-01T04:00:00Z"", ""2025-06-01T05:00:00Z""], ""rolling"": -271.0, ""static"": 105.0}, {""delta"": -376.0, ""key"": [""2025-06-01T04:00:00Z"", ""2025-06-01T06:00:00Z""], ""rolling"": -271.0, ""static"": 105.0}]",area_consumption_same_hour_24h_vs_168h,653.5,313.4375,432,432
432,[],weather_proxy_temperature_2m_area,0.0,0.0,0,432
432,[],weather_proxy_heating_degree_hours_area,0.0,0.0,0,432
432,[],weather_proxy_temperature_roll_mean_24h_area,0.0,0.0,0,432
0,"[{""delta"": 0.06619290123456878, ""key"": [""2025-06-01T04:00:00Z"", ""2025-06-01T04:00:00Z""], ""rolling"": 12.690625, ""static"": 12.624432098765432}, {""delta"": -0.0025405092592585277, ""key"": [""2025-06-01T04:00:00Z"", ""2025-06-01T05:00:00Z""], ""rolling"": 13.653718749999998, ""static"": 13.656259259259256}, {""delta"": -0.028362654320989833, ""key"": [""2025-06-01T04:00:00Z"", ""2025-06-01T06:00:00Z""], ""rolling"": 14.644124999999997, ""static"": 14.672487654320987}]",weather_proxy_train_normal_temperature_2m_area,2.534361572890025,0.5675123754670044,432,432
0,"[{""delta"": -0.06619290123456878, ""key"": [""2025-06-01T04:00:00Z"", ""2025-06-01T04:00:00Z""], ""rolling"": -5.545125000000001, ""static"": -5.478932098765433}, {""delta"": 0.0025405092592585277, ""key"": [""2025-06-01T04:00:00Z"", ""2025-06-01T05:00:00Z""], ""rolling"": -5.218718749999999, ""static"": -5.2212592592592575}, {""delta"": 0.028362654320989833, ""key"": [""2025-06-01T04:00:00Z"", ""2025-06-01T06:00:00Z""], ""rolling"": -4.812624999999999, ""static"": -4.840987654320989}]",weather_proxy_temperature_delta_from_train_normal_area,2.5343615728900253,0.5675123754670044,432,432
432,[],weather_proxy_cold_spell_flag_area,0.0,0.0,0,432
432,[],weather_proxy_apparent_temperature_area,0.0,0.0,0,432
432,[],weather_proxy_wind_speed_area,0.0,0.0,0,432
432,[],weather_proxy_snow_depth_area,0.0,0.0,0,432
432,[],weather_proxy_precipitation_area,0.0,0.0,0,432
432,[],weather_proxy_humidity_area,0.0,0.0,0,432
432,[],weather_proxy_cloud_cover_area,0.0,0.0,0,432
432,[],weather_proxy_cooling_degree_hours_area,0.0,0.0,0,432
