event,horizon,rows,future_raw_mean,future_residual_mean,residual_lift_vs_non_event,raw_lift_vs_non_event
se3_top8_day_and_cold,1h,1290,0.5165202209302339,0.42068890125969016,0.18234016029019465,0.2414264061982937
se3_top8_day_and_cold,3h,1290,0.3866724748062022,0.3311016546511627,0.08214934872259783,0.0962240642827703
se3_top8_day_and_cold,6h,1290,0.29418023837209295,0.2561662053294575,-0.0016917572642002887,-0.007254671624251863
se3_top8_day_and_cold,12h,1290,0.3407657267441865,0.2994971576550387,0.04659696711517747,0.0446485641001928
se3_top8_day_and_cold,24h,1290,0.42918207170542655,0.3329321264534893,0.08367610523117586,0.14318337959486382
se3_top8_day_and_cold,48h,1290,0.4110952906976748,0.31915012441860563,0.0694115012187344,0.12420151363841897
se3_top8_day_and_cold,72h,1290,0.39592803682170635,0.30289660368217125,0.05200278630995231,0.10795637061468194
se3_top8_day_after_24h_cold_pressure,same_hour,1289,0.5442608863460053,0.43512468910007773,0.1984820424696324,0.2724371917062451
se3_top8_day_after_24h_cold_pressure,1h,1289,0.5168751512800631,0.4158245410201707,0.17688653059779552,0.24180106977321258
se3_top8_day_after_24h_cold_pressure,3h,1289,0.39634090768037283,0.3374288453258337,0.0892139891078034,0.10702205378011642
se3_top8_day_after_24h_cold_pressure,6h,1289,0.30816439875872753,0.2693324867145073,0.013025280490204738,0.008377075551783852
se3_top8_day_after_24h_cold_pressure,12h,1289,0.331789198991467,0.29018590806827027,0.03618426422513987,0.03461020319660418
se3_top8_day_after_24h_cold_pressure,24h,1289,0.4384213770364625,0.33551987286656393,0.08656145656977654,0.1534994929420168
se3_top8_day_after_24h_cold_pressure,48h,1289,0.423632482544609,0.32601709047711425,0.0770839435450777,0.1382095152420313
se3_top8_day_after_24h_cold_pressure,72h,1289,0.40912985453840245,0.3091698397013191,0.05901452756325526,0.12271248437570281
se3_bottom4_recovery_after_top8,same_hour,1994,0.1023992452357071,0.09795522473671019,-0.19064780370121615,-0.23667058372193517
se3_bottom4_recovery_after_top8,1h,1994,0.11169404839518562,0.1076289247743231,-0.1791213896717479,-0.22560173784200385
se3_bottom4_recovery_after_top8,3h,1994,0.20886741098294928,0.18539518969408228,-0.08627561175568796,-0.10958076093933986
se3_bottom4_recovery_after_top8,6h,1994,0.3997308362587763,0.326361738904213,0.08205640295450523,0.11835067268455685
se3_bottom4_recovery_after_top8,12h,1991,0.28874165118031153,0.24541428867403348,-0.014813685219686179,-0.014436299879569847
se3_bottom4_recovery_after_top8,24h,1990,0.14540957160804,0.13948351677135662,-0.14169011247028157,-0.18601048853277782
se3_bottom4_recovery_after_top8,48h,1990,0.14525372487437196,0.1385560790201005,-0.14164658059321014,-0.1849730904559557
se3_bottom4_recovery_after_top8,72h,1986,0.15477810674723091,0.1488334442975831,-0.12855570751443818,-0.1728504173639463
