area_code,elapsed_seconds,feature_count,forecast_rows,forecast_rows_162h,forecast_rows_168h,model_id,phase,status,timestamp,train_rows,week_id
SE2,2.0,50,168,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:50:02Z,26950,2025-W29
SE2,0.0,,,162,168,B_weekly_HGB_no_price,test,done,2026-06-08T09:50:02Z,,2025-W29
SE2,2.0,50,167,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:50:04Z,27118,2025-W30
SE2,0.0,,,161,167,B_weekly_HGB_no_price,test,done,2026-06-08T09:50:04Z,,2025-W30
SE2,2.0,50,166,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:50:06Z,27285,2025-W31
SE2,0.0,,,160,166,B_weekly_HGB_no_price,test,done,2026-06-08T09:50:06Z,,2025-W31
SE2,3.0,50,166,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:50:09Z,27451,2025-W32
SE2,0.0,,,160,166,B_weekly_HGB_no_price,test,done,2026-06-08T09:50:09Z,,2025-W32
SE2,2.0,50,168,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:50:11Z,27617,2025-W33
SE2,0.0,,,162,168,B_weekly_HGB_no_price,test,done,2026-06-08T09:50:11Z,,2025-W33
SE2,2.0,50,166,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:50:13Z,27785,2025-W34
SE2,0.0,,,160,166,B_weekly_HGB_no_price,test,done,2026-06-08T09:50:13Z,,2025-W34
SE2,2.0,50,167,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:50:15Z,27951,2025-W35
SE2,0.0,,,161,167,B_weekly_HGB_no_price,test,done,2026-06-08T09:50:15Z,,2025-W35
SE2,2.0,50,168,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:50:17Z,28118,2025-W36
SE2,0.0,,,162,168,B_weekly_HGB_no_price,test,done,2026-06-08T09:50:17Z,,2025-W36
SE2,3.0,50,168,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:50:20Z,28286,2025-W37
SE2,0.0,,,162,168,B_weekly_HGB_no_price,test,done,2026-06-08T09:50:20Z,,2025-W37
SE2,2.0,50,167,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:50:22Z,28454,2025-W38
SE2,0.0,,,161,167,B_weekly_HGB_no_price,test,done,2026-06-08T09:50:22Z,,2025-W38
SE2,2.0,50,167,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:50:24Z,28621,2025-W39
SE2,0.0,,,161,167,B_weekly_HGB_no_price,test,done,2026-06-08T09:50:24Z,,2025-W39
SE2,3.0,50,167,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:50:27Z,28788,2025-W40
SE2,0.0,,,161,167,B_weekly_HGB_no_price,test,done,2026-06-08T09:50:27Z,,2025-W40
SE2,2.0,50,167,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:50:29Z,28955,2025-W41
SE2,0.0,,,162,167,B_weekly_HGB_no_price,test,done,2026-06-08T09:50:29Z,,2025-W41
SE2,2.0,50,167,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:50:31Z,29122,2025-W42
SE2,0.0,,,161,167,B_weekly_HGB_no_price,test,done,2026-06-08T09:50:31Z,,2025-W42
SE2,3.0,50,167,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:50:34Z,29289,2025-W43
SE2,0.0,,,161,167,B_weekly_HGB_no_price,test,done,2026-06-08T09:50:34Z,,2025-W43
SE2,2.0,50,167,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:50:36Z,29456,2025-W44
SE2,0.0,,,161,167,B_weekly_HGB_no_price,test,done,2026-06-08T09:50:36Z,,2025-W44
SE2,2.0,50,168,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:50:38Z,29623,2025-W45
SE2,0.0,,,162,168,B_weekly_HGB_no_price,test,done,2026-06-08T09:50:38Z,,2025-W45
SE2,3.0,50,167,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:50:41Z,29791,2025-W46
SE2,0.0,,,161,167,B_weekly_HGB_no_price,test,done,2026-06-08T09:50:41Z,,2025-W46
SE2,2.0,50,167,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:50:43Z,29958,2025-W47
SE2,0.0,,,161,167,B_weekly_HGB_no_price,test,done,2026-06-08T09:50:43Z,,2025-W47
SE2,3.0,50,166,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:50:46Z,30125,2025-W48
SE2,0.0,,,160,166,B_weekly_HGB_no_price,test,done,2026-06-08T09:50:46Z,,2025-W48
SE2,2.0,50,168,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:50:48Z,30291,2025-W49
SE2,0.0,,,162,168,B_weekly_HGB_no_price,test,done,2026-06-08T09:50:48Z,,2025-W49
SE2,2.0,50,168,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:50:50Z,30459,2025-W50
SE2,0.0,,,162,168,B_weekly_HGB_no_price,test,done,2026-06-08T09:50:50Z,,2025-W50
SE2,3.0,50,168,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:50:53Z,30627,2025-W51
SE2,0.0,,,162,168,B_weekly_HGB_no_price,test,done,2026-06-08T09:50:53Z,,2025-W51
SE2,2.0,50,168,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:50:55Z,30795,2025-W52
SE2,0.0,,,162,168,B_weekly_HGB_no_price,test,done,2026-06-08T09:50:55Z,,2025-W52
SE2,2.0,50,168,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:50:57Z,30963,2026-W01
SE2,0.0,,,162,168,B_weekly_HGB_no_price,test,done,2026-06-08T09:50:57Z,,2026-W01
SE2,3.0,50,168,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:51:00Z,31131,2026-W02
SE2,0.0,,,162,168,B_weekly_HGB_no_price,test,done,2026-06-08T09:51:00Z,,2026-W02
SE2,2.0,50,168,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:51:02Z,31299,2026-W03
SE2,0.0,,,162,168,B_weekly_HGB_no_price,test,done,2026-06-08T09:51:02Z,,2026-W03
SE2,3.0,50,168,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:51:05Z,31467,2026-W04
SE2,0.0,,,162,168,B_weekly_HGB_no_price,test,done,2026-06-08T09:51:05Z,,2026-W04
SE2,2.0,50,168,,,B_weekly_HGB_no_price,train,done,2026-06-08T09:51:07Z,31635,2026-W05
SE2,0.0,,,162,168,B_weekly_HGB_no_price,test,done,2026-06-08T09:51:07Z,,2026-W05
