regime,start_timestamp_utc,end_timestamp_utc,length_hours,mean_spread,max_abs_spread
spread_small_nonzero,2025-01-23T07:00:00+00:00,2025-01-23T08:00:00+00:00,2,0.12858000000000014,0.19708000000000014
spread_positive,2025-01-23T09:00:00+00:00,2025-01-23T09:00:00+00:00,1,0.20648,0.20648
spread_near_zero,2025-01-23T10:00:00+00:00,2025-01-23T11:00:00+00:00,2,0.03663000000000005,0.03864000000000001
spread_positive,2025-01-23T12:00:00+00:00,2025-01-23T20:00:00+00:00,9,0.5220377777777778,0.7570199999999999
spread_small_nonzero,2025-01-23T21:00:00+00:00,2025-01-24T05:00:00+00:00,9,0.07578111111111112,0.09373000000000001
spread_positive,2025-01-24T06:00:00+00:00,2025-01-24T10:00:00+00:00,5,0.34855400000000003,0.50754
spread_small_nonzero,2025-01-24T11:00:00+00:00,2025-01-24T20:00:00+00:00,10,0.085881,0.16531
spread_near_zero,2025-01-24T21:00:00+00:00,2025-01-25T08:00:00+00:00,12,-0.001095833333333333,0.015710000000000002
spread_small_nonzero,2025-01-25T09:00:00+00:00,2025-01-25T15:00:00+00:00,7,0.1657,0.19228
spread_positive,2025-01-25T16:00:00+00:00,2025-01-25T16:00:00+00:00,1,0.20592,0.20592
spread_small_nonzero,2025-01-25T17:00:00+00:00,2025-01-25T19:00:00+00:00,3,0.17150666666666667,0.19057
spread_near_zero,2025-01-25T20:00:00+00:00,2025-01-26T04:00:00+00:00,9,0.004922222222222223,0.04696
spread_small_nonzero,2025-01-26T05:00:00+00:00,2025-01-26T12:00:00+00:00,8,0.19124875,0.20034
spread_positive,2025-01-26T13:00:00+00:00,2025-01-27T01:00:00+00:00,13,0.35313692307692307,0.44750999999999996
spread_small_nonzero,2025-01-27T02:00:00+00:00,2025-01-27T02:00:00+00:00,1,0.09627,0.09627
spread_near_zero,2025-01-27T03:00:00+00:00,2025-01-27T03:00:00+00:00,1,0.030980000000000008,0.030980000000000008
spread_small_nonzero,2025-01-27T04:00:00+00:00,2025-01-27T04:00:00+00:00,1,0.12908999999999998,0.12908999999999998
spread_positive,2025-01-27T05:00:00+00:00,2025-01-27T21:00:00+00:00,17,0.4149976470588236,0.71705
spread_small_nonzero,2025-01-27T22:00:00+00:00,2025-01-28T05:00:00+00:00,8,0.10175250000000001,0.14628
spread_positive,2025-01-28T06:00:00+00:00,2025-01-28T09:00:00+00:00,4,0.3899499999999999,0.47929999999999995
spread_small_nonzero,2025-01-28T10:00:00+00:00,2025-01-28T10:00:00+00:00,1,0.15122000000000002,0.15122000000000002
spread_positive,2025-01-28T11:00:00+00:00,2025-01-28T11:00:00+00:00,1,0.20848999999999995,0.20848999999999995
spread_small_nonzero,2025-01-28T12:00:00+00:00,2025-01-28T12:00:00+00:00,1,0.11143999999999998,0.11143999999999998
spread_near_zero,2025-01-28T13:00:00+00:00,2025-01-29T04:00:00+00:00,16,-0.007998124999999988,0.0180499999999999
spread_positive,2025-01-29T05:00:00+00:00,2025-01-29T07:00:00+00:00,3,0.5948533333333333,0.7731100000000001
spread_spike_positive,2025-01-29T08:00:00+00:00,2025-01-29T08:00:00+00:00,1,0.8675900000000001,0.8675900000000001
spread_positive,2025-01-29T09:00:00+00:00,2025-01-29T15:00:00+00:00,7,0.6047857142857144,0.76484
spread_spike_positive,2025-01-29T16:00:00+00:00,2025-01-29T16:00:00+00:00,1,0.83705,0.83705
spread_positive,2025-01-29T17:00:00+00:00,2025-01-30T06:00:00+00:00,14,0.3812492857142858,0.78425
spread_spike_positive,2025-01-30T07:00:00+00:00,2025-01-30T07:00:00+00:00,1,0.82096,0.82096
spread_positive,2025-01-30T08:00:00+00:00,2025-01-30T15:00:00+00:00,8,0.6557,0.7989499999999999
spread_spike_positive,2025-01-30T16:00:00+00:00,2025-01-30T17:00:00+00:00,2,0.93895,1.05167
spread_positive,2025-01-30T18:00:00+00:00,2025-01-31T05:00:00+00:00,12,0.3657858333333333,0.8005500000000001
spread_spike_positive,2025-01-31T06:00:00+00:00,2025-01-31T18:00:00+00:00,13,1.2233784615384613,1.4873
spread_positive,2025-01-31T19:00:00+00:00,2025-02-01T14:00:00+00:00,20,0.458793,0.75661
spread_spike_positive,2025-02-01T15:00:00+00:00,2025-02-01T20:00:00+00:00,6,0.9661966666666665,1.09991
spread_positive,2025-02-01T21:00:00+00:00,2025-02-02T16:00:00+00:00,20,0.5039454999999999,0.78778
spread_spike_positive,2025-02-02T17:00:00+00:00,2025-02-02T18:00:00+00:00,2,0.848945,0.85239
spread_positive,2025-02-02T19:00:00+00:00,2025-02-02T21:00:00+00:00,3,0.5698,0.78812
spread_small_nonzero,2025-02-02T22:00:00+00:00,2025-02-02T22:00:00+00:00,1,0.17317,0.17317
spread_positive,2025-02-02T23:00:00+00:00,2025-02-03T01:00:00+00:00,3,0.2348,0.28976
spread_small_nonzero,2025-02-03T02:00:00+00:00,2025-02-03T04:00:00+00:00,3,0.17861000000000002,0.19962
spread_positive,2025-02-03T05:00:00+00:00,2025-02-03T05:00:00+00:00,1,0.71038,0.71038
spread_spike_positive,2025-02-03T06:00:00+00:00,2025-02-03T07:00:00+00:00,2,0.940075,1.04259
spread_positive,2025-02-03T08:00:00+00:00,2025-02-03T09:00:00+00:00,2,0.73971,0.7734000000000001
spread_small_nonzero,2025-02-03T10:00:00+00:00,2025-02-03T10:00:00+00:00,1,0.14786999999999995,0.14786999999999995
spread_near_zero,2025-02-03T11:00:00+00:00,2025-02-03T12:00:00+00:00,2,-0.004715000000000025,0.005399999999999849
spread_positive,2025-02-03T13:00:00+00:00,2025-02-03T14:00:00+00:00,2,0.516465,0.7585700000000001
spread_spike_positive,2025-02-03T15:00:00+00:00,2025-02-03T21:00:00+00:00,7,1.695204285714286,2.12979
spread_positive,2025-02-03T22:00:00+00:00,2025-02-04T04:00:00+00:00,7,0.4656985714285714,0.48210000000000003
spread_spike_positive,2025-02-04T05:00:00+00:00,2025-02-04T11:00:00+00:00,7,1.4566357142857143,2.25108
spread_positive,2025-02-04T12:00:00+00:00,2025-02-05T00:00:00+00:00,13,0.35339615384615386,0.7397
