MAE_0_12h,MAE_0_24h,MAE_0_36h,MAE_0_6h,MAE_24_36h,RMSE_0_36h,absolute_energy_error_MWh_36h,area_code,bias_0_36h,energy_error_percent_36h,forecast_origin_local,forecast_origin_utc,forecast_rows,mean_actual_mw,origin_id,origin_month,origin_weekday,p90_absolute_error,p95_absolute_error,raw_train_rows,signed_energy_error_MWh_36h,train_end,train_rows,train_start,train_window_name,train_window_variant
310.40444328253034,215.81620763370643,236.61002172812863,231.6196187892069,278.1976499169729,305.74502046817986,4818.5610540776615,SE2,133.84891816882413,8.161381165762203,2025-11-13T06:00:00+01:00,2025-11-13T05:00:00Z,36,1640.0277777777778,20251113T060000+0100,11,3,554.7555983538085,615.8701231071506,7856,4818.5610540776615,2025-11-13T05:00:00Z,7856,2022-11-13T05:00:00Z,rolling_3_years,TW3
284.72990875519395,202.8917081935441,227.92681836519128,209.66597724754436,277.9970387084856,298.2932330100774,5323.894501181821,SE2,147.88595836616142,9.017283753970668,2025-11-13T06:00:00+01:00,2025-11-13T05:00:00Z,36,1640.0277777777778,20251113T060000+0100,11,3,551.3908477527852,631.5521937115204,8966,5323.894501181821,2025-11-13T05:00:00Z,8966,2022-06-01T00:00:00Z,expanding_from_2022_06_01,TWX
267.30938204053473,344.9603979295414,339.8596346557028,200.00782294995224,329.6581081080256,351.7373561799375,12234.946847605315,SE2,-339.8596346557028,14.819101823605674,2025-11-18T06:00:00+01:00,2025-11-18T05:00:00Z,36,2293.3888888888887,20251118T060000+0100,11,1,456.97867224730953,465.7402982830475,5240,-12234.946847605315,2025-11-18T05:00:00Z,5240,2023-11-18T05:00:00Z,rolling_2_years,TW2
226.267819127977,309.9593102012074,311.96842450906075,179.01439334687856,315.98665312476766,325.00256716141956,11230.863282326187,SE2,-311.96842450906075,13.602944795821548,2025-11-18T06:00:00+01:00,2025-11-18T05:00:00Z,36,2293.3888888888887,20251118T060000+0100,11,1,413.89618760668736,436.6126135408105,7856,-11230.863282326187,2025-11-18T05:00:00Z,7856,2022-11-18T05:00:00Z,rolling_3_years,TW3
223.50268877913604,323.43766831653437,328.76366126028034,163.15849019053914,339.4156471477724,344.9216912542566,11835.491805370097,SE2,-328.76366126028034,14.335277494937253,2025-11-18T06:00:00+01:00,2025-11-18T05:00:00Z,36,2293.3888888888887,20251118T060000+0100,11,1,442.7487193478345,463.3288406655843,9002,-11835.491805370097,2025-11-18T05:00:00Z,9002,2022-06-01T00:00:00Z,expanding_from_2022_06_01,TWX
99.07955435933582,134.6354796936292,229.473139130062,143.2004377323373,419.1484580029276,274.82146760597846,6610.408344369367,SE2,-183.62245401025996,8.6368793451133,2025-11-23T06:00:00+01:00,2025-11-23T05:00:00Z,36,2126.027777777778,20251123T060000+0100,11,6,449.4456968039358,503.475660935524,5240,-6610.408344369367,2025-11-23T05:00:00Z,5240,2023-11-23T05:00:00Z,rolling_2_years,TW2
112.6413281876072,134.32370201482487,193.78819803818183,135.87221437130086,312.7171900848958,222.41750216288497,5594.170596645548,SE2,-155.39362768459898,7.309106179554396,2025-11-23T06:00:00+01:00,2025-11-23T05:00:00Z,36,2126.027777777778,20251123T060000+0100,11,6,343.70417790281704,395.6086481741713,7856,-5594.170596645548,2025-11-23T05:00:00Z,7856,2022-11-23T05:00:00Z,rolling_3_years,TW3
117.94527050427665,143.15354102902506,192.79339420955208,129.95168750082476,292.07310057060613,214.66607058522933,5623.624252958776,SE2,-156.21178480441114,7.347589078431055,2025-11-23T06:00:00+01:00,2025-11-23T05:00:00Z,36,2126.027777777778,20251123T060000+0100,11,6,319.35055060637933,363.6561117065496,9038,-5623.624252958776,2025-11-23T05:00:00Z,9038,2022-06-01T00:00:00Z,expanding_from_2022_06_01,TWX
168.29114402661943,316.7331709033777,387.0891128811891,200.5690856410383,527.8009968368123,435.9726763760001,13405.112353193792,SE2,372.36423203316076,22.398971298801598,2025-11-28T06:00:00+01:00,2025-11-28T05:00:00Z,36,1662.4166666666667,20251128T060000+0100,11,4,628.3400369012745,642.4683940900322,5240,13405.112353193792,2025-11-28T05:00:00Z,5240,2023-11-28T05:00:00Z,rolling_2_years,TW2
209.04115809503193,357.1473133001773,399.96434011339693,214.8400289409329,485.59839373983596,443.5893969030918,14307.354022658823,SE2,397.4265006294118,23.906551744713724,2025-11-28T06:00:00+01:00,2025-11-28T05:00:00Z,36,1662.4166666666667,20251128T060000+0100,11,4,619.4005490121849,687.8394484980736,7857,14307.354022658823,2025-11-28T05:00:00Z,7857,2022-11-28T05:00:00Z,rolling_3_years,TW3
