regime,prediction_column,row_count,MAE,RMSE,bias,median_absolute_error,p90_absolute_error,p95_absolute_error,sMAPE,R2
winter_high_load,pred_LightGBM_no_price,3240,1115.3753207138307,1316.8679644032682,-999.1456885429639,1035.5872222862372,2118.3907132561976,2350.9072479272895,0.09033113336696535,0.329114926409547
winter_high_load,pred_LightGBM_with_p0054n_exact_dayahead_advanced_price,3240,1185.9701580001008,1380.8891178812871,-1089.6521779081386,1136.2163426050474,2190.3340708049263,2443.468929414459,0.09694269533996012,0.262297460603664
winter_high_load,pred_XGBoost_no_price,3240,1140.0259421014985,1348.938657289008,-1015.962902580858,1069.18701171875,2176.82080078125,2402.843847656249,0.09252097816196861,0.2960398657438502
winter_high_load,pred_XGBoost_with_p0054n_exact_dayahead_advanced_price,3240,1239.2667541755081,1475.3575979691823,-1095.119470867895,1131.2119140625,2422.7942708333335,2689.858642578124,0.10064153004849892,0.15791048615622083
high_forecast_price,pred_HGB_no_price,3198,1080.5561069548019,1355.203526041063,-984.89946906491,913.8274814575898,2316.6573470553462,2557.338003275732,0.08879208313831138,0.5736006861767265
high_forecast_price,pred_HGB_with_p0054n_exact_dayahead_advanced_price,3198,1126.5166923949978,1398.9392554295864,-1025.8582595561402,973.9447432493616,2378.0938396460783,2590.829669152762,0.09318430695870675,0.5456346911337941
high_forecast_price,pred_ExtraTrees_no_price,3198,1158.4954465912747,1455.034782483851,-1080.9353352764667,1003.923292841424,2474.6632030932055,2711.7210973586643,0.09489341766179399,0.5084652781640793
high_forecast_price,pred_ExtraTrees_with_p0054n_exact_dayahead_advanced_price,3198,1136.3673421224262,1447.92119932235,-1039.6201194265834,923.9215638759415,2479.0428748335007,2754.0154946003076,0.09268822504137164,0.5132597007963575
high_forecast_price,pred_LightGBM_no_price,3198,1057.3661998968435,1295.457267361991,-985.7399602230532,958.2447921124467,2144.407625409101,2377.430890456038,0.08740748648868707,0.610368882038208
high_forecast_price,pred_LightGBM_with_p0054n_exact_dayahead_advanced_price,3198,1070.375610853201,1315.5661410402042,-982.4478482868712,958.2073420481738,2193.7829486440055,2443.5048072284026,0.08849026426255582,0.5981788186897012
high_forecast_price,pred_XGBoost_no_price,3198,1083.754412700565,1339.6741328479354,-1007.2665466474002,977.699381510417,2234.64267578125,2461.2282226562493,0.08919863814561226,0.5833169878718094
high_forecast_price,pred_XGBoost_with_p0054n_exact_dayahead_advanced_price,3198,1146.8784272824323,1434.5030032328755,-1060.9094594542325,993.12744140625,2433.98154296875,2692.3773437499985,0.09428283490459409,0.5222393522786071
low_forecast_price,pred_HGB_no_price,3198,418.546980425936,534.8143075073256,85.16369257785806,338.1828415145337,876.3276119641996,1065.5095420088937,0.05355440736330988,0.7763475441043985
low_forecast_price,pred_HGB_with_p0054n_exact_dayahead_advanced_price,3198,424.1047392831319,540.9205912441774,56.628772416124995,354.17210452242944,881.0661998885724,1079.362825858606,0.05406089634355541,0.7712112500899629
low_forecast_price,pred_ExtraTrees_no_price,3198,460.5909070920172,597.9468982151915,151.67892073605384,371.1379639534807,993.6920159724517,1222.7629637546095,0.05923531796692408,0.7204285158560677
