family,name,horizon_h,split,row_count,MAE,RMSE,median_absolute_error,p90_absolute_error,p95_absolute_error,bias,sMAPE,R2,mean_actual_mw,median_actual_mw,p10_actual_mw,p90_actual_mw,MAE_percent_of_mean,MAE_percent_of_median
baseline,pred_B1_same_hour_previous_week,6,validate,3624,25.9231667241309,33.06839106645159,20.62994012500002,56.68920260000002,67.90998877500003,3.5651166941914982,0.07577853031806428,0.4808639457571846,336.75393188417434,336.531726875,272.780849925,397.0144116,7.697955174298339,7.70303797649358
baseline,pred_B1_same_hour_previous_week,6,holdout,8615,21.22844639480552,28.783679026642623,15.824955500000044,47.902824050000014,63.33130387499992,0.6782603319500884,0.06605282444175868,0.7119665257571113,309.6312977542073,292.32350125,253.32155755,394.5787484,6.856040248120254,7.261970489553829
baseline,pred_B1_same_hour_previous_week,12,validate,3624,25.9231667241309,33.06839106645159,20.62994012500002,56.68920260000002,67.90998877500003,3.5651166941914982,0.07577853031806428,0.4808639457571846,336.75393188417434,336.531726875,272.780849925,397.0144116,7.697955174298339,7.70303797649358
baseline,pred_B1_same_hour_previous_week,12,holdout,8615,21.22844639480552,28.783679026642623,15.824955500000044,47.902824050000014,63.33130387499992,0.6782603319500884,0.06605282444175868,0.7119665257571113,309.6312977542073,292.32350125,253.32155755,394.5787484,6.856040248120254,7.261970489553829
baseline,pred_B1_same_hour_previous_week,24,validate,3624,25.9231667241309,33.06839106645159,20.62994012500002,56.68920260000002,67.90998877500003,3.5651166941914982,0.07577853031806428,0.4808639457571846,336.75393188417434,336.531726875,272.780849925,397.0144116,7.697955174298339,7.70303797649358
baseline,pred_B1_same_hour_previous_week,24,holdout,8615,21.22844639480552,28.783679026642623,15.824955500000044,47.902824050000014,63.33130387499992,0.6782603319500884,0.06605282444175868,0.7119665257571113,309.6312977542073,292.32350125,253.32155755,394.5787484,6.856040248120254,7.261970489553829
baseline,pred_B1_same_hour_previous_week,48,validate,3624,25.9231667241309,33.06839106645159,20.62994012500002,56.68920260000002,67.90998877500003,3.5651166941914982,0.07577853031806428,0.4808639457571846,336.75393188417434,336.531726875,272.780849925,397.0144116,7.697955174298339,7.70303797649358
baseline,pred_B1_same_hour_previous_week,48,holdout,8615,21.22844639480552,28.783679026642623,15.824955500000044,47.902824050000014,63.33130387499992,0.6782603319500884,0.06605282444175868,0.7119665257571113,309.6312977542073,292.32350125,253.32155755,394.5787484,6.856040248120254,7.261970489553829
baseline,pred_B1_same_hour_previous_week,72,validate,3624,25.9231667241309,33.06839106645159,20.62994012500002,56.68920260000002,67.90998877500003,3.5651166941914982,0.07577853031806428,0.4808639457571846,336.75393188417434,336.531726875,272.780849925,397.0144116,7.697955174298339,7.70303797649358
baseline,pred_B1_same_hour_previous_week,72,holdout,8615,21.22844639480552,28.783679026642623,15.824955500000044,47.902824050000014,63.33130387499992,0.6782603319500884,0.06605282444175868,0.7119665257571113,309.6312977542073,292.32350125,253.32155755,394.5787484,6.856040248120254,7.261970489553829
baseline,pred_B1_same_hour_previous_week,96,validate,3624,25.9231667241309,33.06839106645159,20.62994012500002,56.68920260000002,67.90998877500003,3.5651166941914982,0.07577853031806428,0.4808639457571846,336.75393188417434,336.531726875,272.780849925,397.0144116,7.697955174298339,7.70303797649358
baseline,pred_B1_same_hour_previous_week,96,holdout,8615,21.22844639480552,28.783679026642623,15.824955500000044,47.902824050000014,63.33130387499992,0.6782603319500884,0.06605282444175868,0.7119665257571113,309.6312977542073,292.32350125,253.32155755,394.5787484,6.856040248120254,7.261970489553829
