origin_timestamp_utc,target_timestamp_utc,horizon_h,split,target_consumption_se1_mw,target_model_cet_date,target_model_cet_hour,target_model_cet_weekday,is_weekend,is_holiday,is_bridge_day,is_holiday_period,is_major_social_holiday,consumption_se1_lag_1h,consumption_se1_lag_2h,consumption_se1_lag_3h,consumption_se1_lag_6h,consumption_se1_lag_12h,consumption_se1_lag_24h,consumption_se1_lag_48h,consumption_se1_lag_72h,consumption_se1_lag_168h,consumption_se1_roll_mean_6h,consumption_se1_roll_mean_12h,consumption_se1_roll_mean_24h,consumption_se1_roll_mean_48h,consumption_se1_roll_mean_168h,consumption_se1_roll_min_24h,consumption_se1_roll_max_24h,consumption_se1_roll_std_24h,weather_normal_temperature_se1,weather_normal_wind_100m_se1,weather_normal_solar_se1,pred_B0_same_hour_previous_day,pred_B1_same_hour_previous_week,pred_B2_calendar_hour_weekday_profile,pred_B3_seasonal_hour_weekday_profile,pred_B4_recent_24h_mean_adjusted_by_hour_profile
2022-06-05T23:00:00Z,2022-06-12T23:00:00Z,168,train,986.560261,2022-06-13,0,0,0,0,0,0,0,1037.261948,1063.843295,1089.798083,1102.8686,1071.69538,999.534282,1005.994468,1012.314508,1021.398413,1079.1347453333333,1079.1155487499998,1062.524382416667,1056.6867464166667,1070.3865889523806,999.534282,1102.8686,28.545034104076397,11.668302325581376,17.470841638981167,2.6014285714285776,1019.466356,1036.269416,632.8423499365668,449.8397350681821,1023.8361264998208
2022-06-06T00:00:00Z,2022-06-06T01:00:00Z,1,train,1010.399549,2022-06-06,2,0,0,1,0,0,0,1036.269416,1037.261948,1063.843295,1089.794161,1064.613148,1008.889595,993.329499,1001.691995,1005.435566,1068.0348813333333,1076.1633850833332,1064.055013,1057.3174745,1070.4751068273804,1008.889595,1102.8686,25.997594375509472,10.903315265486743,16.896136061947,11.793230088495642,1030.054348,1006.561238,629.0816863171199,447.7332462336069,1021.6060934637067
2022-06-06T00:00:00Z,2022-06-06T03:00:00Z,3,train,1020.218456,2022-06-06,4,0,0,1,0,0,0,1036.269416,1037.261948,1063.843295,1089.794161,1064.613148,1008.889595,993.329499,1001.691995,1005.435566,1068.0348813333333,1076.1633850833332,1064.055013,1057.3174745,1070.4751068273804,1008.889595,1102.8686,25.997594375509472,11.253144751381251,16.053459668508264,79.022099447514,1025.113154,1024.531795,641.3279574612129,464.9813586829265,1033.8523646077997
2022-06-06T00:00:00Z,2022-06-06T06:00:00Z,6,train,1066.597505,2022-06-06,7,0,0,1,0,0,0,1036.269416,1037.261948,1063.843295,1089.794161,1064.613148,1008.889595,993.329499,1001.691995,1005.435566,1068.0348813333333,1076.1633850833332,1064.055013,1057.3174745,1070.4751068273804,1008.889595,1102.8686,25.997594375509472,13.723294701986715,14.175866445916164,297.9056732891816,1066.382721,1122.253178,698.0820092117459,519.2379737197585,1090.6064163583328
2022-06-06T00:00:00Z,2022-06-06T12:00:00Z,12,train,1068.513924,2022-06-06,13,0,0,1,0,0,0,1036.269416,1037.261948,1063.843295,1089.794161,1064.613148,1008.889595,993.329499,1001.691995,1005.435566,1068.0348813333333,1076.1633850833332,1064.055013,1057.3174745,1070.4751068273804,1008.889595,1102.8686,25.997594375509472,16.832265711135648,16.37984454244764,505.2317420066163,1064.613148,1041.649891,686.7999493130917,521.2770471320005,1079.3243564596785
2022-06-06T00:00:00Z,2022-06-07T00:00:00Z,24,train,992.004364,2022-06-07,1,1,0,0,0,0,0,1036.269416,1037.261948,1063.843295,1089.794161,1064.613148,1008.889595,993.329499,1001.691995,1005.435566,1068.0348813333333,1076.1633850833332,1064.055013,1057.3174745,1070.4751068273804,1008.889595,1102.8686,25.997594375509472,11.22452986725663,17.16823230088499,3.7130309734513114,1015.826073,894.358745,629.6826504197065,467.9188165138889,1022.2070575662933
2022-06-06T00:00:00Z,2022-06-08T00:00:00Z,48,train,987.984375,2022-06-08,1,2,0,0,0,0,0,1036.269416,1037.261948,1063.843295,1089.794161,1064.613148,1008.889595,993.329499,1001.691995,1005.435566,1068.0348813333333,1076.1633850833332,1064.055013,1057.3174745,1070.4751068273804,1008.889595,1102.8686,25.997594375509472,11.22452986725663,17.16823230088499,3.7130309734513114,992.004364,963.438897,633.0050919135471,465.9564140157481,1025.5294990601337
2022-06-06T00:00:00Z,2022-06-09T00:00:00Z,72,train,1028.944007,2022-06-09,1,3,0,0,0,0,0,1036.269416,1037.261948,1063.843295,1089.794161,1064.613148,1008.889595,993.329499,1001.691995,1005.435566,1068.0348813333333,1076.1633850833332,1064.055013,1057.3174745,1070.4751068273804,1008.889595,1102.8686,25.997594375509472,11.22452986725663,17.16823230088499,3.7130309734513114,987.984375,987.743533,633.8301986137789,465.85852859352514,1026.3546057603658
2022-06-06T00:00:00Z,2022-06-10T00:00:00Z,96,train,1052.388105,2022-06-10,1,4,0,0,0,0,0,1036.269416,1037.261948,1063.843295,1089.794161,1064.613148,1008.889595,993.329499,1001.691995,1005.435566,1068.0348813333333,1076.1633850833332,1064.055013,1057.3174745,1070.4751068273804,1008.889595,1102.8686,25.997594375509472,11.22452986725663,17.16823230088499,3.7130309734513114,1028.944007,1001.691995,635.3362470107071,422.3128237868207,1027.860654157294
2022-06-06T00:00:00Z,2022-06-11T00:00:00Z,120,train,1040.425124,2022-06-11,1,5,1,0,0,0,0,1036.269416,1037.261948,1063.843295,1089.794161,1064.613148,1008.889595,993.329499,1001.691995,1005.435566,1068.0348813333333,1076.1633850833332,1064.055013,1057.3174745,1070.4751068273804,1008.889595,1102.8686,25.997594375509472,11.22452986725663,17.16823230088499,3.7130309734513114,1052.388105,993.329499,632.8778587927993,418.24502900961534,1025.402265939386
