scenario,seed,model,MAE_full_36h,RMSE_full_36h,bias_full_36h,p90_full_36h,p95_full_36h,full36_MAE_percent_of_mean_actual,full36_MAE_percent_of_median_actual,hourly_MAE_delivery_day,hourly_RMSE_delivery_day,bias_delivery_day,hourly_MAE_percent_of_mean_actual,hourly_MAE_percent_of_median_actual,absolute_daily_energy_error_MWh,signed_daily_energy_error_MWh,daily_energy_error_percent_of_actual,peak_hour_error_MW,peak_hour_timing_error_hours,morning_ramp_MAE,evening_peak_MAE
uniform_pm2c_train_and_holdout,1007,LightGBM_with_p0054n_exact_dayahead_advanced_price,168.7143965854821,234.74894856201126,-95.11419025312865,415.47605778631083,533.5161274702539,7.171814923876607,7.512764899649202,167.76224069877819,233.71630529684364,-86.40585719729097,7.216827694643724,7.519072065377913,3767.383206440614,-2073.740572734989,6.319988085318113,-183.12576373516094,2.7724719101123596,175.08144088752368,196.90961687733972
uniform_pm2c_train_and_holdout,1007,XGBoost_no_price,162.69081127326626,227.7227733813935,-81.89289967767982,403.58350068437517,517.947578722656,6.9157606693986535,7.244537758281757,162.31522506730695,227.64327654682737,-72.21132349759908,6.9825069494115395,7.2749378495753785,3584.023852693118,-1733.071763942372,6.063893006448345,-167.04225043363778,2.7724719101123596,175.81660760871102,191.36696102558406
uniform_pm2c_train_and_holdout,1008,HGB_no_price,155.76585432720134,219.36312499302664,-72.87581584486323,383.0152165589139,504.75482548907974,6.621390357332084,6.93617300382751,155.30986686995166,218.47435848343363,-61.59857447728901,6.681149129922535,6.960959013156058,3360.703289031643,-1478.3657874549376,5.7272238565833185,-161.95830796736573,2.918539325842697,170.00129643568536,185.4837131288777
uniform_pm2c_train_and_holdout,1008,LightGBM_no_price,170.8734391968965,237.36669773562406,-101.3087160968726,417.77663185873917,530.6268842566756,7.2635928298242005,7.608905951486842,167.30097989475638,233.21255811126719,-89.9325735573883,7.19698509042568,7.4983984429231345,3774.938411212761,-2158.3817653773162,6.33112143755643,-186.76452413323418,2.893258426966292,173.9447831833932,204.21112483920163
uniform_pm2c_train_and_holdout,1008,LightGBM_with_p0054n_exact_dayahead_advanced_price,171.2738999634978,237.93628095292058,-98.33522292831304,420.81086514538794,541.7954961296361,7.280615861411686,7.6267382624922915,170.36335396289329,236.97832433129727,-89.57816735589759,7.328722875366042,7.635653472502825,3839.2249115665877,-2149.8760165415406,6.432028106470741,-184.79881005963597,2.7752808988764044,179.170797358295,198.2936192974166
uniform_pm2c_train_and_holdout,1008,XGBoost_no_price,163.13371219115527,228.80437686180406,-88.63081772765769,404.70597109843754,527.4943124484374,6.934587772935758,7.264259907293817,162.5192263216879,228.35803473421802,-78.76815227146898,6.991282713828049,7.284081147415994,3589.831436664875,-1890.435654515252,6.035945623481325,-176.46522166619127,2.657303370786517,176.4274451211595,194.7467721174466
uniform_pm2c_train_and_holdout,1009,HGB_no_price,157.28237662385953,220.82101410974064,-74.75016990398788,383.48962180064257,510.652468097049,6.68585561613443,7.003702958060528,156.39745703988493,219.40793980861537,-63.60345199899032,6.727935288870482,7.0097045999535545,3386.5509619200393,-1526.4828479757616,5.777286160170603,-168.4058047349186,2.682584269662921,171.00916974703057,188.81679116307566
uniform_pm2c_train_and_holdout,1009,LightGBM_no_price,167.35134513468492,232.2222979242076,-93.52880658571306,406.3378740551145,519.7901914894961,7.113873497805797,7.452068922878919,164.2259897001316,228.17260452421252,-82.33216903288607,7.064704582577839,7.360577960927853,3691.201301856627,-1975.9720567892632,6.244952450455368,-181.7234291126698,2.7387640449438204,173.95035528608346,200.5980433029147
uniform_pm2c_train_and_holdout,1009,LightGBM_with_p0054n_exact_dayahead_advanced_price,168.94490610092598,234.77507559513597,-97.66895894036578,413.23602929340416,533.833224430677,7.18161356356838,7.523029369260037,166.91978414039642,232.33585485405226,-88.45040678432113,7.180586739606765,7.481313320930784,3742.8305765525674,-2122.8097628237074,6.267650448677603,-183.9214419514805,2.8735955056179776,172.71368661806247,198.1994875878944
uniform_pm2c_train_and_holdout,1009,XGBoost_no_price,164.36793197934634,230.25216686336458,-87.69483783168447,406.8193625484374,529.0023637132809,6.987052743770702,7.319219076699827,163.26115923518262,229.30872470993708,-77.7894415254182,7.0231993237599015,7.317334441011774,3600.8809163395813,-1866.9465966100336,6.070235985283026,-177.82218646330767,2.6179775280898876,179.1459659476495,196.15917425354664
