MAE,absolute_daily_energy_error_MWh,bias_mw,count,daily_energy_error_percent,mean_actual_load_mw,mean_temperature_2m,p90_absolute_error_mw,slice,slice_type
324.7484334243258,5079.310933931648,-55.45198598056686,60,9.97000103033173,1761.9511574074072,4.189833333333334,,ramp_q4_high,ramp
267.14737761375267,4476.758223830291,60.8286688664853,20,13.360250559506081,1583.2010416666667,4.582996875000001,,holiday,holiday_workday_weekend
258.8191763105251,4332.512001772632,-57.71229981492125,77,8.340422671315313,1758.1599927849932,4.518327380952382,,weekend,holiday_workday_weekend
213.80594156286577,3378.168486641243,-2.6400709193284557,143,7.725827301635583,1828.9851641414139,3.022422057109559,,workday,holiday_workday_weekend
230.54524229136314,,7.053938270719315,1201,,,,487.86347584614145,12-17,horizon_hour
246.97654659179273,,-28.801917268808634,1440,,,,520.9086786444348,18-23,horizon_hour
221.19496761524948,,4.568374182208294,1440,,,,450.79609872352637,24-29,horizon_hour
230.46796030532045,,-44.34034178559008,1440,,,,473.2244438718289,30-35,horizon_hour
240.10414740785623,,15.729380567462076,239,,,,534.4005406796907,36+,horizon_hour
213.11593518014527,,-4.59833519327773,240,,,,454.1622159245785,00,local_hour
227.79013639585733,,-0.8069535133605115,240,,,,480.53560395891736,01,local_hour
232.98703453578491,,9.288328101912983,239,,,,510.9921663923209,02,local_hour
232.96902680833426,,11.254862677058165,241,,,,493.1569421808608,03,local_hour
245.59935156403475,,21.378393977733975,240,,,,496.4830168287076,04,local_hour
267.2728027032992,,-16.302461388047302,240,,,,522.9470772909754,05,local_hour
265.23300467799953,,-28.816669757197964,240,,,,535.86258315944,06,local_hour
250.9462994018108,,-24.25869171549714,240,,,,526.3211290790005,07,local_hour
239.44745311311095,,-27.962334154999034,240,,,,487.7417520505322,08,local_hour
237.72846312005666,,-42.831694048362216,240,,,,508.8378710359433,09,local_hour
221.4467284692668,,-34.87499497610465,240,,,,474.27269479087437,10,local_hour
217.86687225135665,,-5.6554818438373395,240,,,,473.58786886434956,11,local_hour
230.6630465744152,,25.93456313644709,240,,,,475.38258242006845,12,local_hour
223.93389693611704,,37.1642725593542,240,,,,480.7338331258036,13,local_hour
210.60246989433833,,25.055163336610153,240,,,,433.56514599254115,14,local_hour
220.91513086757953,,-6.620446899155337,240,,,,400.36728781217903,15,local_hour
223.08786626912413,,-48.568348094737466,240,,,,401.24307045780336,16,local_hour
236.61173275978936,,-76.94237042858724,240,,,,473.9606743978721,17,local_hour
232.05552197007742,,-53.171278679918046,240,,,,413.25028867332475,18,local_hour
219.26615337874063,,-54.69211499257549,240,,,,476.5337085150996,19,local_hour
230.03295229168114,,-49.994719978039264,240,,,,449.4498077835141,20,local_hour
231.81606559538506,,-27.936233575085453,240,,,,468.1510540887163,21,local_hour
232.25822761162217,,-4.07244128395862,240,,,,535.3147388068825,22,local_hour
240.9812798298002,,17.541407851241036,240,,,,533.582078728808,23,local_hour
