family,name,horizon_h,split,row_count,MAE,RMSE,median_absolute_error,p90_absolute_error,p95_absolute_error,bias,sMAPE,R2
baseline,pred_B1_same_hour_previous_week,96,holdout,3480,28.587830676364888,36.437581757562654,24.01223924999998,62.13508912499999,76.15384782499994,4.925520374784492,0.08564906093587843,0.6610364634055562
baseline,pred_B1_same_hour_previous_week,120,validate,8760,20.246489115867636,27.19857225563158,14.937005749999997,46.921102474999934,59.37693710000001,0.18334603264840624,0.06228938381185095,0.6798465831933482
baseline,pred_B1_same_hour_previous_week,120,holdout,3480,28.587830676364888,36.437581757562654,24.01223924999998,62.13508912499999,76.15384782499994,4.925520374784492,0.08564906093587843,0.6610364634055562
baseline,pred_B1_same_hour_previous_week,144,validate,8760,20.246489115867636,27.19857225563158,14.937005749999997,46.921102474999934,59.37693710000001,0.18334603264840624,0.06228938381185095,0.6798465831933482
baseline,pred_B1_same_hour_previous_week,144,holdout,3480,28.587830676364888,36.437581757562654,24.01223924999998,62.13508912499999,76.15384782499994,4.925520374784492,0.08564906093587843,0.6610364634055562
baseline,pred_B1_same_hour_previous_week,168,validate,8760,20.246489115867636,27.19857225563158,14.937005749999997,46.921102474999934,59.37693710000001,0.18334603264840624,0.06228938381185095,0.6798465831933482
baseline,pred_B1_same_hour_previous_week,168,holdout,3480,28.587830676364888,36.437581757562654,24.01223924999998,62.13508912499999,76.15384782499994,4.925520374784492,0.08564906093587843,0.6610364634055562
baseline,pred_B2_calendar_hour_weekday_profile,1,validate,8760,357.58107037480806,360.935761485195,366.70725162284646,418.3244774164945,426.2734332111403,357.58107037480806,0.731583461926153,-55.380088745643334
baseline,pred_B2_calendar_hour_weekday_profile,1,holdout,3480,344.53332189252967,350.38482519958615,353.60752617555204,423.54134751712513,436.05900387464163,344.53332189252967,0.700056784485026,-30.343281793911142
baseline,pred_B2_calendar_hour_weekday_profile,3,validate,8760,357.58107037480806,360.935761485195,366.70725162284646,418.3244774164945,426.2734332111403,357.58107037480806,0.731583461926153,-55.380088745643334
baseline,pred_B2_calendar_hour_weekday_profile,3,holdout,3480,344.53332189252967,350.38482519958615,353.60752617555204,423.54134751712513,436.05900387464163,344.53332189252967,0.700056784485026,-30.343281793911142
baseline,pred_B2_calendar_hour_weekday_profile,6,validate,8760,357.58107037480806,360.935761485195,366.70725162284646,418.3244774164945,426.2734332111403,357.58107037480806,0.731583461926153,-55.380088745643334
baseline,pred_B2_calendar_hour_weekday_profile,6,holdout,3480,344.53332189252967,350.38482519958615,353.60752617555204,423.54134751712513,436.05900387464163,344.53332189252967,0.700056784485026,-30.343281793911142
baseline,pred_B2_calendar_hour_weekday_profile,12,validate,8760,357.58107037480806,360.935761485195,366.70725162284646,418.3244774164945,426.2734332111403,357.58107037480806,0.731583461926153,-55.380088745643334
baseline,pred_B2_calendar_hour_weekday_profile,12,holdout,3480,344.53332189252967,350.38482519958615,353.60752617555204,423.54134751712513,436.05900387464163,344.53332189252967,0.700056784485026,-30.343281793911142
baseline,pred_B2_calendar_hour_weekday_profile,24,validate,8760,357.58107037480806,360.935761485195,366.70725162284646,418.3244774164945,426.2734332111403,357.58107037480806,0.731583461926153,-55.380088745643334
baseline,pred_B2_calendar_hour_weekday_profile,24,holdout,3480,344.53332189252967,350.38482519958615,353.60752617555204,423.54134751712513,436.05900387464163,344.53332189252967,0.700056784485026,-30.343281793911142
baseline,pred_B2_calendar_hour_weekday_profile,48,validate,8760,357.58107037480806,360.935761485195,366.70725162284646,418.3244774164945,426.2734332111403,357.58107037480806,0.731583461926153,-55.380088745643334
baseline,pred_B2_calendar_hour_weekday_profile,48,holdout,3480,344.53332189252967,350.38482519958615,353.60752617555204,423.54134751712513,436.05900387464163,344.53332189252967,0.700056784485026,-30.343281793911142
baseline,pred_B2_calendar_hour_weekday_profile,72,validate,8760,357.58107037480806,360.935761485195,366.70725162284646,418.3244774164945,426.2734332111403,357.58107037480806,0.731583461926153,-55.380088745643334
baseline,pred_B2_calendar_hour_weekday_profile,72,holdout,3480,344.53332189252967,350.38482519958615,353.60752617555204,423.54134751712513,436.05900387464163,344.53332189252967,0.700056784485026,-30.343281793911142
baseline,pred_B2_calendar_hour_weekday_profile,96,validate,8760,357.58107037480806,360.935761485195,366.70725162284646,418.3244774164945,426.2734332111403,357.58107037480806,0.731583461926153,-55.380088745643334
baseline,pred_B2_calendar_hour_weekday_profile,96,holdout,3480,344.53332189252967,350.38482519958615,353.60752617555204,423.54134751712513,436.05900387464163,344.53332189252967,0.700056784485026,-30.343281793911142
baseline,pred_B2_calendar_hour_weekday_profile,120,validate,8760,357.58107037480806,360.935761485195,366.70725162284646,418.3244774164945,426.2734332111403,357.58107037480806,0.731583461926153,-55.380088745643334
