area_code,weather_stack_id,baseline_name,baseline_DayAhead_MAE,stack_DayAhead_MAE,delta_vs_baseline_DayAhead_MW,delta_vs_baseline_DayAhead_percent,baseline_full36_MAE,stack_full36_MAE,delta_vs_baseline_full36_MW,delta_vs_baseline_full36_percent
SE2,W5,P0056C,209.51872783683092,208.4562847227686,-1.0624431140623187,-0.5070874212684837,201.82678388544215,199.39821455109063,-2.428569334351522,-1.2032938778482392
SE2,W5,P0056D,206.5984947980714,208.4562847227686,1.8577899246971867,0.8992272313082356,197.77528776378924,199.39821455109063,1.6229267873013953,0.8205912910816846
SE2,W5,P0056E_V8,206.52148722664296,208.4562847227686,1.9347974961256398,0.9368504566318245,197.676,199.39821455109063,1.7222145510906444,0.871230979527431
SE2,W6,P0056C,209.51872783683092,208.81935039539212,-0.6993774414387985,-0.3338018747343006,201.82678388544215,199.71789498530342,-2.108888900138737,-1.0449004138795337
SE2,W6,P0056D,206.5984947980714,208.81935039539212,2.220855597320707,1.0749621382727705,197.77528776378924,199.71789498530342,1.94260722151418,0.9822295007019844
SE2,W6,P0056E_V8,206.52148722664296,208.81935039539212,2.29786316874916,1.1126508914917,197.676,199.71789498530342,2.041894985303429,1.0329503760210796
SE2,W7,P0056C,209.51872783683092,207.9148721709215,-1.603855665909407,-0.7654951337612447,201.82678388544215,199.0014752026937,-2.8253086827484424,-1.3998680593117419
SE2,W7,P0056D,206.5984947980714,207.9148721709215,1.3163773728500985,0.6371669716842423,197.77528776378924,199.0014752026937,1.226187438904475,0.6199902185802699
SE2,W7,P0056E_V8,206.52148722664296,207.9148721709215,1.3933849442785515,0.6746924801821752,197.676,199.0014752026937,1.325475202693724,0.6705291500706834
SE2,W8,P0056C,209.51872783683092,207.897346858487,-1.6213809783439217,-0.7738596902929945,201.82678388544215,198.93280212610145,-2.8939817593407042,-1.433893809150396
SE2,W8,P0056D,206.5984947980714,207.897346858487,1.2988520604155838,0.6286841836311909,197.77528776378924,198.93280212610145,1.157514362312213,0.5852674393247137
SE2,W8,P0056E_V8,206.52148722664296,207.897346858487,1.3758596318440368,0.6662065290737165,197.676,198.93280212610145,1.2568021261014621,0.6357889304222375
SE2,W9,P0056C,209.51872783683092,206.8510041260304,-2.667723710800516,-1.2732626521472996,201.82678388544215,197.98466114741603,-3.84212273802612,-1.90367336983724
SE2,W9,P0056D,206.5984947980714,206.8510041260304,0.2525093279589896,0.12222224958889041,197.77528776378924,197.98466114741603,0.20937338362679725,0.1058642796044671
SE2,W9,P0056E_V8,206.52148722664296,206.8510041260304,0.32951689938744266,0.15955574589961227,197.676,197.98466114741603,0.30866114741604633,0.15614497835652602
SE2,W10,P0056C,209.51872783683092,206.71173355774408,-2.8069942790868367,-1.3397343082728477,201.82678388544215,197.72876280583512,-4.098021079607037,-2.0304644411978012
SE2,W10,P0056D,206.5984947980714,206.71173355774408,0.11323875967266872,0.054811028407224294,197.77528776378924,197.72876280583512,-0.04652495795411937,-0.023524151313426958
SE2,W10,P0056E_V8,206.52148722664296,206.71173355774408,0.19024633110112177,0.09211938847425578,197.676,197.72876280583512,0.05276280583512971,0.02669155883118321
SE2,W11,P0056C,209.51872783683092,206.48317294861022,-3.0355548882207017,-1.4488226993172335,201.82678388544215,197.65716649623633,-4.1696173892058255,-2.0659385780890807
SE2,W11,P0056D,206.5984947980714,206.48317294861022,-0.11532184946119628,-0.05581930767400383,197.77528776378924,197.65716649623633,-0.1181212675529082,-0.059724988338272604
SE2,W11,P0056E_V8,206.52148722664296,206.48317294861022,-0.03831427803274323,-0.018552199360590493,197.676,197.65716649623633,-0.01883350376365911,-0.009527460978398548
SE2,W12,P0056C,209.51872783683092,206.1794292040645,-3.339298632766429,-1.5937948207508255,201.82678388544215,197.54697731492638,-4.279806570515774,-2.1205344940466437
SE2,W12,P0056D,206.5984947980714,206.1794292040645,-0.41906559400692345,-0.2028405843016991,197.77528776378924,197.54697731492638,-0.22831044886285667,-0.11543932077881074
SE2,W12,P0056E_V8,206.52148722664296,206.1794292040645,-0.3420580225784704,-0.16562829716749305,197.676,197.54697731492638,-0.1290226850736076,-0.06526977734960623
