forecast_run_id,model_name,model_version,split_policy_version,train_start_utc,train_end_utc,validation_start_utc,validation_end_utc,forecast_origin_timestamp_utc,input_data_cutoff_utc,target_timestamp_utc,horizon_hours,area_or_target,predicted_price_or_index,prediction_unit,prediction_kind,created_at_utc,quality_flag
P0053C-A_m4_shape_index_holdout_origin_2025-06-01,M4_P0045_rebuilt_shape_index,p0053ca_global_split_v1,forecast_period_policy_v1_p0053c,2022-06-01T00:00:00Z,2025-05-31T23:00:00Z,2025-01-01T00:00:00Z,2025-05-31T23:00:00Z,2025-06-01T00:00:00Z,2025-05-31T23:00:00Z,2025-06-02T20:00:00Z,44,system_proxy_se1,0.5246083425724258,centered_shape_index,shape_index,2026-06-04T06:00:01Z,non_rolling_single_holdout_origin_shape_index_not_absolute_price
P0053C-A_m4_shape_index_holdout_origin_2025-06-01,M4_P0045_rebuilt_shape_index,p0053ca_global_split_v1,forecast_period_policy_v1_p0053c,2022-06-01T00:00:00Z,2025-05-31T23:00:00Z,2025-01-01T00:00:00Z,2025-05-31T23:00:00Z,2025-06-01T00:00:00Z,2025-05-31T23:00:00Z,2025-06-02T21:00:00Z,45,system_proxy_se1,-0.06718707357365183,centered_shape_index,shape_index,2026-06-04T06:00:01Z,non_rolling_single_holdout_origin_shape_index_not_absolute_price
P0053C-A_m4_shape_index_holdout_origin_2025-06-01,M4_P0045_rebuilt_shape_index,p0053ca_global_split_v1,forecast_period_policy_v1_p0053c,2022-06-01T00:00:00Z,2025-05-31T23:00:00Z,2025-01-01T00:00:00Z,2025-05-31T23:00:00Z,2025-06-01T00:00:00Z,2025-05-31T23:00:00Z,2025-06-02T22:00:00Z,46,system_proxy_se1,-0.5808246044585348,centered_shape_index,shape_index,2026-06-04T06:00:01Z,non_rolling_single_holdout_origin_shape_index_not_absolute_price
P0053C-A_m4_shape_index_holdout_origin_2025-06-01,M4_P0045_rebuilt_shape_index,p0053ca_global_split_v1,forecast_period_policy_v1_p0053c,2022-06-01T00:00:00Z,2025-05-31T23:00:00Z,2025-01-01T00:00:00Z,2025-05-31T23:00:00Z,2025-06-01T00:00:00Z,2025-05-31T23:00:00Z,2025-06-02T23:00:00Z,47,system_proxy_se1,-0.7818587075696599,centered_shape_index,shape_index,2026-06-04T06:00:01Z,non_rolling_single_holdout_origin_shape_index_not_absolute_price
P0053C-A_m4_shape_index_holdout_origin_2025-06-01,M4_P0045_rebuilt_shape_index,p0053ca_global_split_v1,forecast_period_policy_v1_p0053c,2022-06-01T00:00:00Z,2025-05-31T23:00:00Z,2025-01-01T00:00:00Z,2025-05-31T23:00:00Z,2025-06-01T00:00:00Z,2025-05-31T23:00:00Z,2025-06-03T00:00:00Z,48,system_proxy_se1,-0.5527155461272402,centered_shape_index,shape_index,2026-06-04T06:00:01Z,non_rolling_single_holdout_origin_shape_index_not_absolute_price
P0053C-A_m4_shape_index_holdout_origin_2025-06-01,M4_P0045_rebuilt_shape_index,p0053ca_global_split_v1,forecast_period_policy_v1_p0053c,2022-06-01T00:00:00Z,2025-05-31T23:00:00Z,2025-01-01T00:00:00Z,2025-05-31T23:00:00Z,2025-06-01T00:00:00Z,2025-05-31T23:00:00Z,2025-06-03T01:00:00Z,49,system_proxy_se1,-0.5770861854026497,centered_shape_index,shape_index,2026-06-04T06:00:01Z,non_rolling_single_holdout_origin_shape_index_not_absolute_price
P0053C-A_m4_shape_index_holdout_origin_2025-06-01,M4_P0045_rebuilt_shape_index,p0053ca_global_split_v1,forecast_period_policy_v1_p0053c,2022-06-01T00:00:00Z,2025-05-31T23:00:00Z,2025-01-01T00:00:00Z,2025-05-31T23:00:00Z,2025-06-01T00:00:00Z,2025-05-31T23:00:00Z,2025-06-03T02:00:00Z,50,system_proxy_se1,-0.402886676338926,centered_shape_index,shape_index,2026-06-04T06:00:01Z,non_rolling_single_holdout_origin_shape_index_not_absolute_price
P0053C-A_m4_shape_index_holdout_origin_2025-06-01,M4_P0045_rebuilt_shape_index,p0053ca_global_split_v1,forecast_period_policy_v1_p0053c,2022-06-01T00:00:00Z,2025-05-31T23:00:00Z,2025-01-01T00:00:00Z,2025-05-31T23:00:00Z,2025-06-01T00:00:00Z,2025-05-31T23:00:00Z,2025-06-03T03:00:00Z,51,system_proxy_se1,-0.17860296041480006,centered_shape_index,shape_index,2026-06-04T06:00:01Z,non_rolling_single_holdout_origin_shape_index_not_absolute_price
P0053C-A_m4_shape_index_holdout_origin_2025-06-01,M4_P0045_rebuilt_shape_index,p0053ca_global_split_v1,forecast_period_policy_v1_p0053c,2022-06-01T00:00:00Z,2025-05-31T23:00:00Z,2025-01-01T00:00:00Z,2025-05-31T23:00:00Z,2025-06-01T00:00:00Z,2025-05-31T23:00:00Z,2025-06-03T04:00:00Z,52,system_proxy_se1,0.6381146053487026,centered_shape_index,shape_index,2026-06-04T06:00:01Z,non_rolling_single_holdout_origin_shape_index_not_absolute_price
P0053C-A_m4_shape_index_holdout_origin_2025-06-01,M4_P0045_rebuilt_shape_index,p0053ca_global_split_v1,forecast_period_policy_v1_p0053c,2022-06-01T00:00:00Z,2025-05-31T23:00:00Z,2025-01-01T00:00:00Z,2025-05-31T23:00:00Z,2025-06-01T00:00:00Z,2025-05-31T23:00:00Z,2025-06-03T05:00:00Z,53,system_proxy_se1,1.5093353635326294,centered_shape_index,shape_index,2026-06-04T06:00:01Z,non_rolling_single_holdout_origin_shape_index_not_absolute_price
