regime,prediction_column,row_count,MAE,RMSE,bias,median_absolute_error,p90_absolute_error,p95_absolute_error,sMAPE,R2
large_forecast_price_ramp,pred_HorizonBiasCorrected_WeightedEnsemble_no_price,13188,241.9103672775069,333.2732631892833,2.154237300300853,184.30112344350073,510.85792250843826,645.8192274585059,0.025424324180943456,0.9759647988251235
forecast_price_spike,pred_HGB_no_price,13188,271.467248625831,367.04235034746523,-67.69219491122138,210.75330862051896,570.6053505130978,713.9215816328789,0.028437291655728635,0.9708472741671605
forecast_price_spike,pred_ExtraTrees_no_price,13188,274.62549477238224,370.2236157603103,-86.37163699576169,212.4999658520478,582.6679431556079,730.9082533502747,0.028360246058164968,0.9703397334324888
forecast_price_spike,pred_LightGBM_no_price,13188,259.0995940020665,352.3187393544472,-72.93152650160144,197.56313463760944,550.2595961528251,698.9033587603154,0.02718658223831846,0.9731392397487811
forecast_price_spike,pred_XGBoost_no_price,13188,255.68750687424563,347.6774180292424,-70.91144699144505,196.76318359375,541.822607421875,684.3232421875,0.026834894649696586,0.9738422863387798
forecast_price_spike,pred_WeightedEnsemble_no_price,13188,253.3475492129184,344.0344286807819,-74.23120509183741,195.08655070586929,536.2414732207822,672.0496600890671,0.026463432528428574,0.9743875793468516
forecast_price_spike,pred_MedianEnsemble_no_price,13188,254.07944195845707,345.240662387082,-73.74097871882593,195.7024524689523,538.7520725069427,674.5144474912297,0.026551186679611993,0.9742076629031217
forecast_price_spike,pred_ResidualCorrection_XGBoost_no_price,13188,277.331826865928,372.9572067121806,55.595078827225905,222.2088285540358,563.3862520209251,726.204846733976,0.02924196423596614,0.9699001160698896
forecast_price_spike,pred_HorizonSpecialized_HGB_no_price,13188,287.88564088868554,413.00259623414456,-82.38408758934128,209.62206839044575,617.1072573592936,791.1416355815209,0.029702062292039078,0.96308929185603
forecast_price_spike,pred_HorizonBiasCorrected_WeightedEnsemble_no_price,13188,241.9103672775069,333.2732631892833,2.154237300300853,184.30112344350073,510.85792250843826,645.8192274585059,0.025424324180943456,0.9759647988251235
