forecast_origin_timestamp_utc,row_count,pred_HGB_no_price_MAE_full_36h,pred_ExtraTrees_no_price_MAE_full_36h,pred_LightGBM_no_price_MAE_full_36h,pred_XGBoost_no_price_MAE_full_36h,pred_WeightedEnsemble_no_price_MAE_full_36h,pred_MedianEnsemble_no_price_MAE_full_36h,pred_ResidualCorrection_XGBoost_no_price_MAE_full_36h,pred_HorizonSpecialized_HGB_no_price_MAE_full_36h,pred_HorizonBiasCorrected_WeightedEnsemble_no_price_MAE_full_36h
2025-06-12T10:00:00Z,36,282.05864792836564,267.6955044895064,236.29625683731612,272.8448893229167,257.0539582465535,256.8551950949641,238.77423528506722,246.46348984962455,261.5184189053564
2025-06-13T10:00:00Z,36,304.2571345695744,332.28115524082875,340.0792906581472,420.6866048177083,340.60265622641333,336.88921268147703,307.5724925957517,163.54297776557664,414.8332796300406
2025-06-14T10:00:00Z,36,284.6007840000087,243.8016506349668,213.72867848628755,291.43146430121527,256.2514218779105,261.41032869205515,223.94107605479053,194.2586186367299,295.81527845038465
2025-06-15T10:00:00Z,36,241.0127964699066,238.61810705789205,187.90112862547016,233.69873046875,215.79424514467098,218.4385998351547,299.7822141924846,239.3352294177263,207.17790208171897
2025-06-16T10:00:00Z,36,198.09171891669163,179.2614965227843,162.13002179025952,175.38993326822916,171.88173231556698,169.95349284040623,225.84854061564118,183.6889517494331,171.27075774770705
2025-06-17T10:00:00Z,36,171.50111024378572,152.3543598532985,145.72781496376234,155.22440592447916,144.79554639007108,147.77888371104612,122.48465036091336,192.93954660706765,128.68328064664115
2025-06-18T10:00:00Z,36,209.8125745149033,179.26410087392358,169.04741641701196,162.60389539930554,172.47892648964398,169.36522489719897,245.85293929969845,175.69868052818066,185.70299554268604
2025-06-19T10:00:00Z,36,311.59093284856795,281.97254821452736,314.673854129019,247.52501085069446,282.141970263698,287.1048057544465,296.6811180031101,548.1284337459456,344.38577381871835
2025-06-20T10:00:00Z,36,236.45704872559898,256.5300804522573,201.61988417488425,221.97935655381946,215.34950970317217,214.6989861151425,280.65207711790254,401.2168293731532,264.2994205407178
2025-06-21T10:00:00Z,36,194.4759341271784,185.40016229621105,162.63700475763022,162.13187662760416,162.96327827981247,160.36347933793616,316.1252972015725,207.3749558254226,181.51076985908983
2025-06-22T10:00:00Z,36,558.9028590053799,492.13423448327984,521.5304198705785,421.169677734375,497.40239764388974,502.8381291769731,208.4079067851273,582.7204015099542,431.06380883294264
2025-06-23T10:00:00Z,36,279.7989240030692,210.29719431974118,238.35406232674734,208.18009440104166,227.52364811630153,219.4275819916638,152.0076402748199,343.82328510195293,166.99161552752807
2025-06-24T10:00:00Z,36,271.5195836741394,183.90123649056426,234.75157086164765,192.56723361545139,214.70442854305878,206.2276100484962,202.42602265374097,300.971742552491,168.79785898642837
2025-06-25T10:00:00Z,36,198.92790458520392,188.92014654787997,210.54371892968555,173.0755615234375,181.38589818620034,185.1907631373585,208.6282411752141,214.1448914685706,158.40799090955798
2025-06-26T10:00:00Z,36,239.39809747891564,183.51492822995303,215.73701223456985,203.73772515190973,196.2983183049394,199.54280746829397,196.90074374331618,192.69703311267168,180.57335044497415
2025-06-27T10:00:00Z,36,184.16774272717146,173.10884857359744,129.85181645547527,137.79349772135416,150.1042474145034,147.88378808625822,139.51392427993042,135.6936893478958,152.76563210123777
2025-06-28T10:00:00Z,36,188.08713524560844,243.84422111889074,173.87691177605404,188.23475477430554,191.9601990642774,189.23998453081123,167.05202177907506,183.26992249107798,243.16555760200143
