forecast_run_id,source_shape_run_id,model_name,model_version,split_policy_version,anchor_method,anchor_level,anchor_scale,anchor_history_start_utc,anchor_history_end_utc,forecast_origin_timestamp_utc,input_data_cutoff_utc,target_timestamp_utc,horizon_hours,area,predicted_price,prediction_unit,prediction_kind,source_shape_value,created_at_utc,quality_flag
P0053C-B_m4_48h_anchored_absolute_se1_v1,P0053C-A_m4_shape_regenerated_validation_holdout,M4_P0045_48h_anchored_absolute_price,p0053cb_48h_anchor_v1,forecast_period_policy_v1_p0053c,A1_median_iqr,0.057425000000000004,0.04151964418087471,2024-12-30T23:00:00Z,2025-01-01T22:00:00Z,2025-01-01T23:00:00Z,2025-01-01T22:00:00Z,2025-01-02T19:00:00Z,20,SE1,0.05557233335005345,source_hour_price_unit,anchored_absolute_price,-0.044621448148150264,2026-06-04T06:32:20Z,canonical
P0053C-B_m4_48h_anchored_absolute_se1_v1,P0053C-A_m4_shape_regenerated_validation_holdout,M4_P0045_48h_anchored_absolute_price,p0053cb_48h_anchor_v1,forecast_period_policy_v1_p0053c,A1_median_iqr,0.057425000000000004,0.04151964418087471,2024-12-30T23:00:00Z,2025-01-01T22:00:00Z,2025-01-01T23:00:00Z,2025-01-01T22:00:00Z,2025-01-02T20:00:00Z,21,SE1,0.053157973605483466,source_hour_price_unit,anchored_absolute_price,-0.10277126595612944,2026-06-04T06:32:20Z,canonical
P0053C-B_m4_48h_anchored_absolute_se1_v1,P0053C-A_m4_shape_regenerated_validation_holdout,M4_P0045_48h_anchored_absolute_price,p0053cb_48h_anchor_v1,forecast_period_policy_v1_p0053c,A1_median_iqr,0.057425000000000004,0.04151964418087471,2024-12-30T23:00:00Z,2025-01-01T22:00:00Z,2025-01-01T23:00:00Z,2025-01-01T22:00:00Z,2025-01-02T21:00:00Z,22,SE1,0.05019593607716192,source_hour_price_unit,anchored_absolute_price,-0.1741118948742828,2026-06-04T06:32:20Z,canonical
P0053C-B_m4_48h_anchored_absolute_se1_v1,P0053C-A_m4_shape_regenerated_validation_holdout,M4_P0045_48h_anchored_absolute_price,p0053cb_48h_anchor_v1,forecast_period_policy_v1_p0053c,A1_median_iqr,0.057425000000000004,0.04151964418087471,2024-12-30T23:00:00Z,2025-01-01T22:00:00Z,2025-01-01T23:00:00Z,2025-01-01T22:00:00Z,2025-01-02T22:00:00Z,23,SE1,0.05218861954818573,source_hour_price_unit,anchored_absolute_price,-0.1261181437153625,2026-06-04T06:32:20Z,canonical
P0053C-B_m4_48h_anchored_absolute_se1_v1,P0053C-A_m4_shape_regenerated_validation_holdout,M4_P0045_48h_anchored_absolute_price,p0053cb_48h_anchor_v1,forecast_period_policy_v1_p0053c,A1_median_iqr,0.057425000000000004,0.04151964418087471,2024-12-30T23:00:00Z,2025-01-01T22:00:00Z,2025-01-01T23:00:00Z,2025-01-01T22:00:00Z,2025-01-02T23:00:00Z,24,SE1,0.05295031423379684,source_hour_price_unit,anchored_absolute_price,-0.10777273877179198,2026-06-04T06:32:20Z,canonical
P0053C-B_m4_48h_anchored_absolute_se1_v1,P0053C-A_m4_shape_regenerated_validation_holdout,M4_P0045_48h_anchored_absolute_price,p0053cb_48h_anchor_v1,forecast_period_policy_v1_p0053c,A1_median_iqr,0.057425000000000004,0.04151964418087471,2024-12-30T23:00:00Z,2025-01-01T22:00:00Z,2025-01-01T23:00:00Z,2025-01-01T22:00:00Z,2025-01-03T00:00:00Z,25,SE1,0.05164762610041632,source_hour_price_unit,anchored_absolute_price,-0.13914796269484714,2026-06-04T06:32:20Z,canonical
P0053C-B_m4_48h_anchored_absolute_se1_v1,P0053C-A_m4_shape_regenerated_validation_holdout,M4_P0045_48h_anchored_absolute_price,p0053cb_48h_anchor_v1,forecast_period_policy_v1_p0053c,A1_median_iqr,0.057425000000000004,0.04151964418087471,2024-12-30T23:00:00Z,2025-01-01T22:00:00Z,2025-01-01T23:00:00Z,2025-01-01T22:00:00Z,2025-01-03T01:00:00Z,26,SE1,0.050285247636121716,source_hour_price_unit,anchored_absolute_price,-0.17196082733211598,2026-06-04T06:32:20Z,canonical
P0053C-B_m4_48h_anchored_absolute_se1_v1,P0053C-A_m4_shape_regenerated_validation_holdout,M4_P0045_48h_anchored_absolute_price,p0053cb_48h_anchor_v1,forecast_period_policy_v1_p0053c,A1_median_iqr,0.057425000000000004,0.04151964418087471,2024-12-30T23:00:00Z,2025-01-01T22:00:00Z,2025-01-01T23:00:00Z,2025-01-01T22:00:00Z,2025-01-03T02:00:00Z,27,SE1,0.04937847694554691,source_hour_price_unit,anchored_absolute_price,-0.1938003856535837,2026-06-04T06:32:20Z,canonical
P0053C-B_m4_48h_anchored_absolute_se1_v1,P0053C-A_m4_shape_regenerated_validation_holdout,M4_P0045_48h_anchored_absolute_price,p0053cb_48h_anchor_v1,forecast_period_policy_v1_p0053c,A1_median_iqr,0.057425000000000004,0.04151964418087471,2024-12-30T23:00:00Z,2025-01-01T22:00:00Z,2025-01-01T23:00:00Z,2025-01-01T22:00:00Z,2025-01-03T03:00:00Z,28,SE1,0.0492931400433291,source_hour_price_unit,anchored_absolute_price,-0.19585572364843862,2026-06-04T06:32:20Z,canonical
P0053C-B_m4_48h_anchored_absolute_se1_v1,P0053C-A_m4_shape_regenerated_validation_holdout,M4_P0045_48h_anchored_absolute_price,p0053cb_48h_anchor_v1,forecast_period_policy_v1_p0053c,A1_median_iqr,0.057425000000000004,0.04151964418087471,2024-12-30T23:00:00Z,2025-01-01T22:00:00Z,2025-01-01T23:00:00Z,2025-01-01T22:00:00Z,2025-01-03T04:00:00Z,29,SE1,0.05520153594309829,source_hour_price_unit,anchored_absolute_price,-0.05355209806749532,2026-06-04T06:32:20Z,canonical
P0053C-B_m4_48h_anchored_absolute_se1_v1,P0053C-A_m4_shape_regenerated_validation_holdout,M4_P0045_48h_anchored_absolute_price,p0053cb_48h_anchor_v1,forecast_period_policy_v1_p0053c,A1_median_iqr,0.057425000000000004,0.04151964418087471,2024-12-30T23:00:00Z,2025-01-01T22:00:00Z,2025-01-01T23:00:00Z,2025-01-01T22:00:00Z,2025-01-03T05:00:00Z,30,SE1,0.05818794248982681,source_hour_price_unit,anchored_absolute_price,0.018375458289169058,2026-06-04T06:32:20Z,canonical
P0053C-B_m4_48h_anchored_absolute_se1_v1,P0053C-A_m4_shape_regenerated_validation_holdout,M4_P0045_48h_anchored_absolute_price,p0053cb_48h_anchor_v1,forecast_period_policy_v1_p0053c,A1_median_iqr,0.057425000000000004,0.04151964418087471,2024-12-30T23:00:00Z,2025-01-01T22:00:00Z,2025-01-01T23:00:00Z,2025-01-01T22:00:00Z,2025-01-03T06:00:00Z,31,SE1,0.06207945128099081,source_hour_price_unit,anchored_absolute_price,0.1121023884673557,2026-06-04T06:32:20Z,canonical
